State,District,predicted_risk
Andaman and Nicobar Islands,Nicobars,0.07663498
Andaman and Nicobar Islands,North and Middle Andaman,0.07691796
Andhra Pradesh,Ananthapuramu,0.057563327
Andhra Pradesh,Chittoor,0.07437594
Andhra Pradesh,East Godavari,0.10277884
Andhra Pradesh,Guntur,0.10227314
Andhra Pradesh,Krishna,0.08364756
Andhra Pradesh,Kurnool,0.06948853
Andhra Pradesh,Prakasam,0.11695149
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.11481763
Andhra Pradesh,Srikakulam,0.08346227
Andhra Pradesh,Visakhapatnam,0.097279795
Andhra Pradesh,Vizianagaram,0.0760217
Andhra Pradesh,West Godavari,0.07683491
Andhra Pradesh,Y.S.R.,0.08436473
Arunachal Pradesh,Changlang,0.055735726
Arunachal Pradesh,Dibang Valley,0.11273443
Arunachal Pradesh,East Kameng,0.06083619
Arunachal Pradesh,East Siang,0.106345974
Arunachal Pradesh,Lohit,0.051871847
Arunachal Pradesh,Lower Subansiri,0.09319796
Arunachal Pradesh,Papum Pare,0.05974242
Arunachal Pradesh,Tawang,0.068105176
Arunachal Pradesh,Tirap,0.062006503
Arunachal Pradesh,Upper Siang,0.18434457
Arunachal Pradesh,Upper Subansiri,0.1553011
Arunachal Pradesh,West Kameng,0.061356902
Arunachal Pradesh,West Siang,0.18407045
Assam,Barpeta,0.042823896
Assam,Bongaigaon,0.0410284
Assam,Cachar,0.051767286
Assam,Darrang,0.041090637
Assam,Dhubri,0.05633396
Assam,Dibrugarh,0.07698334
Assam,Dima Hasao,0.047893524
Assam,Goalpara,0.04818122
Assam,Golaghat,0.04516397
Assam,Hailakandi,0.06026486
Assam,Jorhat,0.065860435
Assam,Kamrup,0.03613094
Assam,Karbi Anglong,0.04726777
Assam,Karimganj,0.062212978
Assam,Kokrajhar,0.047131374
Assam,Lakhimpur,0.10015223
Assam,Marigaon,0.039010562
Assam,Nagaon,0.047000412
Assam,Nalbari,0.036903586
Assam,Sivasagar,0.08063131
Assam,Sonitpur,0.060880866
Assam,Tinsukia,0.054832827
Bihar,Aurangabad,0.063607074
Bihar,Begusarai,0.07272011
Bihar,Bhagalpur,0.09722784
Bihar,Bhojpur,0.09234553
Bihar,Buxar,0.06370213
Bihar,Darbhanga,0.07174231
Bihar,Gaya,0.083666936
Bihar,Gopalganj,0.07775451
Bihar,Kaimur (Bhabua),0.054546583
Bihar,Katihar,0.11997209
Bihar,Khagaria,0.048039347
Bihar,Kishanganj,0.083425954
Bihar,Madhepura,0.08611892
Bihar,Madhubani,0.07451898
Bihar,Munger,0.05653184
Bihar,Muzaffarpur,0.06309406
Bihar,Nalanda,0.0963052
Bihar,Pashchim Champaran,0.08300504
Bihar,Patna,0.090804555
Bihar,Purbi Champaran,0.08416221
Bihar,Purnia,0.117244855
