State,District,Year,Month,predicted_risk
Andaman and Nicobar Islands,Nicobars,2020,4,0.095186956
Andaman and Nicobar Islands,Nicobars,2020,5,0.07158764
Andaman and Nicobar Islands,Nicobars,2020,6,0.041173317
Andaman and Nicobar Islands,Nicobars,2020,7,0.040541828
Andaman and Nicobar Islands,Nicobars,2020,8,0.04464805
Andaman and Nicobar Islands,Nicobars,2020,9,0.040748537
Andaman and Nicobar Islands,Nicobars,2020,10,0.04077919
Andaman and Nicobar Islands,Nicobars,2020,11,0.04768807
Andaman and Nicobar Islands,Nicobars,2020,12,0.14797346
Andaman and Nicobar Islands,Nicobars,2021,1,0.12651171
Andaman and Nicobar Islands,Nicobars,2021,2,0.09692064
Andaman and Nicobar Islands,Nicobars,2021,3,0.111034125
Andaman and Nicobar Islands,Nicobars,2021,4,0.10161178
Andaman and Nicobar Islands,Nicobars,2021,5,0.066484354
Andaman and Nicobar Islands,North and Middle Andaman,2020,4,0.130728
Andaman and Nicobar Islands,North and Middle Andaman,2020,5,0.14581296
Andaman and Nicobar Islands,North and Middle Andaman,2020,6,0.059124943
Andaman and Nicobar Islands,North and Middle Andaman,2020,7,0.053196643
Andaman and Nicobar Islands,North and Middle Andaman,2020,8,0.060422063
Andaman and Nicobar Islands,North and Middle Andaman,2020,9,0.096193604
Andaman and Nicobar Islands,North and Middle Andaman,2020,10,0.048817676
Andaman and Nicobar Islands,North and Middle Andaman,2020,11,0.051181093
Andaman and Nicobar Islands,North and Middle Andaman,2020,12,0.047109272
Andaman and Nicobar Islands,North and Middle Andaman,2021,1,0.0431496
Andaman and Nicobar Islands,North and Middle Andaman,2021,2,0.13006377
Andaman and Nicobar Islands,North and Middle Andaman,2021,3,0.07261147
Andaman and Nicobar Islands,North and Middle Andaman,2021,4,0.077916935
Andaman and Nicobar Islands,North and Middle Andaman,2021,5,0.060523465
Andhra Pradesh,Ananthapuramu,2020,1,0.07165506
Andhra Pradesh,Ananthapuramu,2020,2,0.062380172
Andhra Pradesh,Ananthapuramu,2020,3,0.06014309
Andhra Pradesh,Ananthapuramu,2020,4,0.061370786
Andhra Pradesh,Ananthapuramu,2020,5,0.086193964
Andhra Pradesh,Ananthapuramu,2020,6,0.055047285
Andhra Pradesh,Ananthapuramu,2020,7,0.039457094
Andhra Pradesh,Ananthapuramu,2020,8,0.04512148
Andhra Pradesh,Ananthapuramu,2020,9,0.038008116
Andhra Pradesh,Ananthapuramu,2020,10,0.036560386
Andhra Pradesh,Ananthapuramu,2020,11,0.089780845
Andhra Pradesh,Ananthapuramu,2020,12,0.049329996
Andhra Pradesh,Ananthapuramu,2021,1,0.04755836
Andhra Pradesh,Ananthapuramu,2021,2,0.07386922
Andhra Pradesh,Ananthapuramu,2021,3,0.05830767
Andhra Pradesh,Ananthapuramu,2021,4,0.062345676
Andhra Pradesh,Ananthapuramu,2021,5,0.041447323
Andhra Pradesh,Chittoor,2020,1,0.06819963
Andhra Pradesh,Chittoor,2020,1,0.04599192
Andhra Pradesh,Chittoor,2020,1,0.050044164
Andhra Pradesh,Chittoor,2020,1,0.05004199
Andhra Pradesh,Chittoor,2020,1,0.049544457
Andhra Pradesh,Chittoor,2020,1,0.04966427
Andhra Pradesh,Chittoor,2020,1,0.05287829
Andhra Pradesh,Chittoor,2020,1,0.05287829
Andhra Pradesh,Chittoor,2020,1,0.052898936
Andhra Pradesh,Chittoor,2020,2,0.058010086
Andhra Pradesh,Chittoor,2020,2,0.051867697
Andhra Pradesh,Chittoor,2020,2,0.048964795
Andhra Pradesh,Chittoor,2020,2,0.038881365
Andhra Pradesh,Chittoor,2020,2,0.038528137
Andhra Pradesh,Chittoor,2020,2,0.03747652
Andhra Pradesh,Chittoor,2020,2,0.03827503
Andhra Pradesh,Chittoor,2020,2,0.04019158
Andhra Pradesh,Chittoor,2020,2,0.038170833
Andhra Pradesh,Chittoor,2020,3,0.02429183
Andhra Pradesh,Chittoor,2020,3,0.029597787
Andhra Pradesh,Chittoor,2020,3,0.031513102
Andhra Pradesh,Chittoor,2020,3,0.035695907
Andhra Pradesh,Chittoor,2020,3,0.035505928
Andhra Pradesh,Chittoor,2020,3,0.034020524
Andhra Pradesh,Chittoor,2020,3,0.033814877
Andhra Pradesh,Chittoor,2020,3,0.035153516
Andhra Pradesh,Chittoor,2020,3,0.035044096
Andhra Pradesh,Chittoor,2020,4,0.063510366
Andhra Pradesh,Chittoor,2020,4,0.07505847
Andhra Pradesh,Chittoor,2020,4,0.099008135
Andhra Pradesh,Chittoor,2020,4,0.16955657
Andhra Pradesh,Chittoor,2020,4,0.20902719
Andhra Pradesh,Chittoor,2020,4,0.20907836
Andhra Pradesh,Chittoor,2020,4,0.19511999
Andhra Pradesh,Chittoor,2020,4,0.19623691
Andhra Pradesh,Chittoor,2020,4,0.20136724
Andhra Pradesh,Chittoor,2020,5,0.32381505
Andhra Pradesh,Chittoor,2020,5,0.1707045
Andhra Pradesh,Chittoor,2020,5,0.2224778
Andhra Pradesh,Chittoor,2020,5,0.24474742
Andhra Pradesh,Chittoor,2020,5,0.24527667
Andhra Pradesh,Chittoor,2020,5,0.25311613
Andhra Pradesh,Chittoor,2020,5,0.34624338
Andhra Pradesh,Chittoor,2020,5,0.3518964
Andhra Pradesh,Chittoor,2020,5,0.3518964
Andhra Pradesh,Chittoor,2020,6,0.39204216
Andhra Pradesh,Chittoor,2020,6,0.27450046
Andhra Pradesh,Chittoor,2020,6,0.1670985
Andhra Pradesh,Chittoor,2020,6,0.12651898
Andhra Pradesh,Chittoor,2020,6,0.06662837
Andhra Pradesh,Chittoor,2020,6,0.06039078
Andhra Pradesh,Chittoor,2020,6,0.03141662
Andhra Pradesh,Chittoor,2020,6,0.030824997
Andhra Pradesh,Chittoor,2020,6,0.030843802
Andhra Pradesh,Chittoor,2020,7,0.037419986
Andhra Pradesh,Chittoor,2020,7,0.039812617
Andhra Pradesh,Chittoor,2020,7,0.036404073
Andhra Pradesh,Chittoor,2020,7,0.038695104
Andhra Pradesh,Chittoor,2020,7,0.040344913
