State,District,Year,Month,rainfall,deviation,groundwater,reservoir
Andaman and Nicobar Islands,Nicobars,2018,1,110.24,177.68,,
Andaman and Nicobar Islands,Nicobars,2018,2,0.88,95.53,,
Andaman and Nicobar Islands,Nicobars,2018,3,18.65,98.4,,
Andaman and Nicobar Islands,Nicobars,2018,4,33.69,40.58,2.93,
Andaman and Nicobar Islands,Nicobars,2018,5,72.45,80.64,2.93,
Andaman and Nicobar Islands,Nicobars,2018,6,84.65,84.05,2.93,
Andaman and Nicobar Islands,Nicobars,2018,7,82.91,81.96,2.93,
Andaman and Nicobar Islands,Nicobars,2018,8,164.01,64.14,2.93,
Andaman and Nicobar Islands,Nicobars,2018,9,162.72,65.13,2.93,
Andaman and Nicobar Islands,Nicobars,2018,10,410.99,37.55,2.93,
Andaman and Nicobar Islands,Nicobars,2018,11,744.1,253.32,2.18,
Andaman and Nicobar Islands,Nicobars,2018,12,126.18,0.02,2.18,
Andaman and Nicobar Islands,Nicobars,2019,1,0.0,100.0,2.18,
Andaman and Nicobar Islands,Nicobars,2019,2,2.19,88.88,2.18,
Andaman and Nicobar Islands,Nicobars,2019,3,5.9,37.23,2.18,
Andaman and Nicobar Islands,Nicobars,2019,4,3.13,94.48,4.4,
Andaman and Nicobar Islands,Nicobars,2019,5,17.73,95.26,4.4,
Andaman and Nicobar Islands,Nicobars,2019,6,18.78,96.46,4.4,
Andaman and Nicobar Islands,Nicobars,2019,7,40.28,91.24,4.4,
Andaman and Nicobar Islands,Nicobars,2019,8,181.84,60.24,4.4,
Andaman and Nicobar Islands,Nicobars,2019,9,374.67,19.72,4.4,
Andaman and Nicobar Islands,Nicobars,2019,10,440.66,47.48,4.4,
Andaman and Nicobar Islands,Nicobars,2019,11,391.69,85.99,3.91,
Andaman and Nicobar Islands,Nicobars,2019,12,365.12,189.32,3.91,
Andaman and Nicobar Islands,Nicobars,2020,1,19.22,51.59,3.91,
Andaman and Nicobar Islands,Nicobars,2020,2,215.74,995.13,3.91,
Andaman and Nicobar Islands,Nicobars,2020,3,77.63,725.85,3.91,
Andaman and Nicobar Islands,Nicobars,2020,4,180.72,218.73,3.91,
Andaman and Nicobar Islands,Nicobars,2020,5,1321.99,253.28,3.91,
Andaman and Nicobar Islands,Nicobars,2020,6,84.22,84.13,3.91,
Andaman and Nicobar Islands,Nicobars,2020,7,179.88,60.86,3.91,
Andaman and Nicobar Islands,Nicobars,2020,8,140.87,69.2,3.91,
Andaman and Nicobar Islands,Nicobars,2020,9,95.79,79.48,3.91,
Andaman and Nicobar Islands,Nicobars,2020,10,184.43,38.28,3.91,
Andaman and Nicobar Islands,Nicobars,2020,11,244.36,16.03,3.91,
Andaman and Nicobar Islands,Nicobars,2020,12,703.19,457.2,3.91,
Andaman and Nicobar Islands,Nicobars,2021,1,223.97,464.16,3.91,
Andaman and Nicobar Islands,Nicobars,2021,2,45.13,129.09,3.91,
Andaman and Nicobar Islands,Nicobars,2021,3,4.86,48.3,3.91,
Andaman and Nicobar Islands,Nicobars,2021,4,2.42,95.73,3.91,
Andaman and Nicobar Islands,Nicobars,2021,5,60.86,83.74,3.91,
Andaman and Nicobar Islands,Nicobars,2021,6,1.77,99.67,3.91,
Andaman and Nicobar Islands,North and Middle Andaman,2018,1,0.0,100.0,,
Andaman and Nicobar Islands,North and Middle Andaman,2018,2,0.0,100.0,,
Andaman and Nicobar Islands,North and Middle Andaman,2018,3,8.57,83.71,,
Andaman and Nicobar Islands,North and Middle Andaman,2018,4,133.26,18.98,1.01,
Andaman and Nicobar Islands,North and Middle Andaman,2018,5,307.03,16.68,1.01,
Andaman and Nicobar Islands,North and Middle Andaman,2018,6,620.96,98.58,1.01,
Andaman and Nicobar Islands,North and Middle Andaman,2018,7,591.91,112.99,1.01,
Andaman and Nicobar Islands,North and Middle Andaman,2018,8,479.63,76.72,1.01,
Andaman and Nicobar Islands,North and Middle Andaman,2018,9,405.23,19.29,1.01,
Andaman and Nicobar Islands,North and Middle Andaman,2018,10,253.93,22.18,1.01,
Andaman and Nicobar Islands,North and Middle Andaman,2018,11,0.0,100.0,0.88,
Andaman and Nicobar Islands,North and Middle Andaman,2018,12,44.97,83.67,0.88,
Andaman and Nicobar Islands,North and Middle Andaman,2019,1,0.0,100.0,0.88,
Andaman and Nicobar Islands,North and Middle Andaman,2019,2,44.32,27.93,0.88,
Andaman and Nicobar Islands,North and Middle Andaman,2019,3,39.3,25.29,0.88,
Andaman and Nicobar Islands,North and Middle Andaman,2019,4,158.14,41.2,0.89,
Andaman and Nicobar Islands,North and Middle Andaman,2019,5,261.61,29.01,0.89,
Andaman and Nicobar Islands,North and Middle Andaman,2019,6,239.93,23.27,0.89,
Andaman and Nicobar Islands,North and Middle Andaman,2019,7,440.84,58.63,0.89,
Andaman and Nicobar Islands,North and Middle Andaman,2019,8,380.41,40.17,0.89,
Andaman and Nicobar Islands,North and Middle Andaman,2019,9,567.61,67.09,0.89,
Andaman and Nicobar Islands,North and Middle Andaman,2019,10,371.21,13.76,0.89,
Andaman and Nicobar Islands,North and Middle Andaman,2019,11,301.83,6.96,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2019,12,471.14,71.07,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,1,121.6,7.42,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,2,495.36,705.46,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,3,90.13,71.35,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,4,313.1,179.55,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,5,2774.03,652.79,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,6,164.71,47.33,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,7,173.67,37.51,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,8,730.61,169.2,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,9,74.43,78.09,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,10,401.18,22.95,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,11,16.16,95.02,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2020,12,0.0,100.0,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2021,1,32.07,71.67,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2021,2,1133.65,1743.33,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2021,3,333.81,534.62,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2021,4,78.5,29.91,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2021,5,264.15,28.32,1.57,
Andaman and Nicobar Islands,North and Middle Andaman,2021,6,13.78,95.59,1.57,
Andhra Pradesh,Ananthapuramu,2014,1,0.0,100.0,13.56,
Andhra Pradesh,Ananthapuramu,2014,2,2.78,39.0,14.24,
Andhra Pradesh,Ananthapuramu,2014,3,13.92,184.08,14.75,
Andhra Pradesh,Ananthapuramu,2014,4,6.61,62.01,15.74,
Andhra Pradesh,Ananthapuramu,2014,5,40.82,24.96,17.53,
Andhra Pradesh,Ananthapuramu,2014,6,47.89,3.45,17.91,
Andhra Pradesh,Ananthapuramu,2014,7,31.38,48.3,18.56,
Andhra Pradesh,Ananthapuramu,2014,8,61.89,13.68,18.83,
Andhra Pradesh,Ananthapuramu,2014,9,40.6,68.36,19.34,
Andhra Pradesh,Ananthapuramu,2014,10,92.59,9.49,19.66,
Andhra Pradesh,Ananthapuramu,2014,11,8.32,75.46,18.9,
Andhra Pradesh,Ananthapuramu,2014,12,4.55,54.04,19.7,
Andhra Pradesh,Ananthapuramu,2015,1,0.78,22.0,20.25,
Andhra Pradesh,Ananthapuramu,2015,2,3.35,67.5,21.01,
Andhra Pradesh,Ananthapuramu,2015,3,3.96,19.18,21.53,
Andhra Pradesh,Ananthapuramu,2015,4,57.83,232.36,21.78,
Andhra Pradesh,Ananthapuramu,2015,5,67.49,24.06,22.48,
Andhra Pradesh,Ananthapuramu,2015,6,45.12,9.03,20.84,
Andhra Pradesh,Ananthapuramu,2015,7,19.53,67.83,22.04,
Andhra Pradesh,Ananthapuramu,2015,8,74.27,3.58,22.79,
Andhra Pradesh,Ananthapuramu,2015,9,149.75,16.72,20.13,
Andhra Pradesh,Ananthapuramu,2015,10,71.89,29.73,17.43,
Andhra Pradesh,Ananthapuramu,2015,11,69.17,104.04,14.75,
Andhra Pradesh,Ananthapuramu,2015,12,2.88,70.91,13.55,
Andhra Pradesh,Ananthapuramu,2016,1,15.31,1431.0,14.6,
Andhra Pradesh,Ananthapuramu,2016,2,0.08,96.0,16.28,
Andhra Pradesh,Ananthapuramu,2016,3,0.03,99.39,17.84,
Andhra Pradesh,Ananthapuramu,2016,4,0.01,99.94,19.83,
Andhra Pradesh,Ananthapuramu,2016,5,81.36,49.56,18.89,
Andhra Pradesh,Ananthapuramu,2016,6,61.33,23.65,17.49,
Andhra Pradesh,Ananthapuramu,2016,7,82.1,35.26,16.69,
Andhra Pradesh,Ananthapuramu,2016,8,26.23,63.42,18.58,
Andhra Pradesh,Ananthapuramu,2016,9,42.12,67.17,19.13,
Andhra Pradesh,Ananthapuramu,2016,10,6.95,93.21,20.11,
Andhra Pradesh,Ananthapuramu,2016,11,0.55,98.38,21.12,
Andhra Pradesh,Ananthapuramu,2016,12,10.4,5.05,21.03,
Andhra Pradesh,Ananthapuramu,2017,1,0.59,41.0,22.18,
Andhra Pradesh,Ananthapuramu,2017,2,0.0,100.0,22.97,
Andhra Pradesh,Ananthapuramu,2017,3,4.42,9.8,24.33,
Andhra Pradesh,Ananthapuramu,2017,4,7.44,57.24,25.24,
Andhra Pradesh,Ananthapuramu,2017,5,20.46,62.39,25.53,
Andhra Pradesh,Ananthapuramu,2017,6,73.67,48.53,24.63,
Andhra Pradesh,Ananthapuramu,2017,7,27.13,55.3,25.88,
Andhra Pradesh,Ananthapuramu,2017,8,94.32,31.55,23.23,
Andhra Pradesh,Ananthapuramu,2017,9,164.85,28.49,24.65,
Andhra Pradesh,Ananthapuramu,2017,10,198.31,93.85,17.86,
Andhra Pradesh,Ananthapuramu,2017,11,5.98,82.36,14.12,
Andhra Pradesh,Ananthapuramu,2017,12,0.0,100.0,14.2,
Andhra Pradesh,Ananthapuramu,2018,1,0.0,100.0,15.72,
Andhra Pradesh,Ananthapuramu,2018,2,0.81,59.5,16.63,
Andhra Pradesh,Ananthapuramu,2018,3,12.46,154.29,17.82,
Andhra Pradesh,Ananthapuramu,2018,4,13.11,24.66,18.65,
Andhra Pradesh,Ananthapuramu,2018,5,73.85,35.75,16.73,
Andhra Pradesh,Ananthapuramu,2018,6,57.49,15.91,18.52,
Andhra Pradesh,Ananthapuramu,2018,7,23.66,61.02,19.19,
Andhra Pradesh,Ananthapuramu,2018,8,41.2,42.54,17.95,
Andhra Pradesh,Ananthapuramu,2018,9,105.62,17.68,21.02,
Andhra Pradesh,Ananthapuramu,2018,10,46.35,54.69,20.55,
Andhra Pradesh,Ananthapuramu,2018,11,10.43,69.23,18.83,
Andhra Pradesh,Ananthapuramu,2018,12,0.01,99.9,20.7,
Andhra Pradesh,Ananthapuramu,2019,1,17.58,1658.0,20.17,
Andhra Pradesh,Ananthapuramu,2019,2,0.19,90.5,23.51,
Andhra Pradesh,Ananthapuramu,2019,3,0.0,100.0,24.49,
Andhra Pradesh,Ananthapuramu,2019,4,7.01,59.71,24.75,
Andhra Pradesh,Ananthapuramu,2019,5,37.47,31.12,22.21,
Andhra Pradesh,Ananthapuramu,2019,6,35.3,28.83,22.21,
Andhra Pradesh,Ananthapuramu,2019,7,51.18,15.68,22.21,
Andhra Pradesh,Ananthapuramu,2019,8,74.91,4.48,3.96,
Andhra Pradesh,Ananthapuramu,2019,9,184.81,44.05,3.96,
Andhra Pradesh,Ananthapuramu,2019,10,172.57,68.69,8.41,
Andhra Pradesh,Ananthapuramu,2019,11,172.98,410.27,8.41,
Andhra Pradesh,Ananthapuramu,2019,12,26.88,171.52,8.41,
Andhra Pradesh,Ananthapuramu,2020,1,0.31,69.0,16.83,
Andhra Pradesh,Ananthapuramu,2020,2,0.0,100.0,18.34,
Andhra Pradesh,Ananthapuramu,2020,3,17.58,258.78,19.2,
Andhra Pradesh,Ananthapuramu,2020,4,304.94,1652.53,18.99,
Andhra Pradesh,Ananthapuramu,2020,5,1306.29,2301.27,18.97,
Andhra Pradesh,Ananthapuramu,2020,6,87.36,76.13,18.93,
Andhra Pradesh,Ananthapuramu,2020,7,193.27,218.4,22.15,
Andhra Pradesh,Ananthapuramu,2020,8,109.74,53.05,3.99,
Andhra Pradesh,Ananthapuramu,2020,9,380.55,196.61,3.99,
Andhra Pradesh,Ananthapuramu,2020,10,154.63,51.15,3.99,
Andhra Pradesh,Ananthapuramu,2020,11,91.97,171.3,5.53,
Andhra Pradesh,Ananthapuramu,2020,12,30.27,205.76,5.53,
Andhra Pradesh,Ananthapuramu,2021,1,27.7,2670.0,5.63,
Andhra Pradesh,Ananthapuramu,2021,2,11.77,488.5,5.63,
Andhra Pradesh,Ananthapuramu,2021,3,8.33,70.0,10.95,
Andhra Pradesh,Ananthapuramu,2021,4,189.28,987.82,11.63,
Andhra Pradesh,Ananthapuramu,2021,5,356.1,554.6,11.63,
Andhra Pradesh,Ananthapuramu,2021,6,19.61,60.46,11.63,
Andhra Pradesh,Chittoor,2014,1,0.4,95.79,13.42,
Andhra Pradesh,Chittoor,2014,1,0.4,95.79,13.42,
Andhra Pradesh,Chittoor,2014,1,0.4,95.79,13.42,
Andhra Pradesh,Chittoor,2014,1,0.4,95.79,13.42,
Andhra Pradesh,Chittoor,2014,1,0.4,95.79,13.42,
Andhra Pradesh,Chittoor,2014,1,0.4,95.79,13.42,
Andhra Pradesh,Chittoor,2014,1,0.4,95.79,13.42,
Andhra Pradesh,Chittoor,2014,1,0.4,95.79,13.42,
Andhra Pradesh,Chittoor,2014,1,0.4,95.79,13.42,
Andhra Pradesh,Chittoor,2014,2,19.04,172.0,13.55,
Andhra Pradesh,Chittoor,2014,2,19.04,172.0,13.55,
Andhra Pradesh,Chittoor,2014,2,19.04,172.0,13.55,
Andhra Pradesh,Chittoor,2014,2,19.04,172.0,13.55,
Andhra Pradesh,Chittoor,2014,2,19.04,172.0,13.55,
