Country,Year,Month,actual_risk,predicted_risk
IND,2020,1,-0.4788001947289164,-0.43062288
IND,2020,2,0.3197190693546931,0.026440077
IND,2020,3,0.9777513930174324,0.52162135
IND,2020,4,1.472548129760992,0.606889
IND,2020,5,1.0416216159382672,0.5083952
IND,2020,6,0.6105991814801824,0.23772138
IND,2020,7,0.2363114058577761,0.02960799
IND,2020,8,0.0177766889162951,-0.19797058
IND,2020,9,-0.0896248720666871,-0.30907133
IND,2020,10,-0.1559956935073372,-0.34233314
IND,2020,11,-0.2839223602689745,-0.38183516
IND,2020,12,-0.4351894133773786,-0.3818165
IND,2021,1,-0.5560363896523236,-0.3818165
IND,2021,2,-0.5925412677484108,-0.34250286
IND,2021,3,-0.5695620442785762,-0.21448706
IND,2021,4,-0.5327943667263827,-0.13245282
IND,2021,5,-0.5357602223867859,-0.12596294
IND,2021,6,-0.5510608057800029,-0.114990965
IND,2021,7,-0.5808389708015737,-0.11657297
IND,2021,8,-0.6237418348430152,-0.11542608
IND,2021,9,-0.6877071690848289,-0.115575805
IND,2021,10,-0.7066164661420524,-0.11593069
IND,2021,11,-0.6533962446533995,-0.11626247
IND,2021,12,-0.6040380792357513,-0.10718321
IND,2022,1,-0.4936127470621816,-0.10685708
IND,2022,2,-0.3530084591982021,-0.099024035
IND,2022,3,-0.3314026371055037,-0.106895775
IND,2022,4,-0.2810681367655219,-0.103236385
IND,2022,5,-0.3094218159342757,-0.108229846
IND,2022,6,-0.2705420828909035,-0.11410086
IND,2022,7,-0.4025429765053909,-0.11288882
IND,2022,8,-0.5056502617910399,-0.11429182
IND,2022,9,-0.5580715886029936,-0.115299635
IND,2022,10,-0.6594784941109809,-0.11379573
IND,2022,11,-0.7924116768415975,-0.12766694
IND,2022,12,-0.8780341579170517,-0.14637016
IND,2023,1,-0.874578792259193,-0.14735678
IND,2023,2,-0.8376077941028893,-0.15762201
IND,2023,3,-0.9053876101082854,-0.15908429
IND,2023,4,-0.9835157367882044,-0.15800597
IND,2023,5,-1.132805136998641,-0.15989266
IND,2023,6,-1.2568289223879632,-0.15813309
IND,2023,7,-1.349956127945812,-0.15896489
IND,2023,8,-1.4238839662535028,-0.15971243
IND,2023,9,-1.446340381266224,-0.15850854
IND,2023,10,-1.4807181732680892,-0.1597892
IND,2023,11,-1.529467401109934,-0.15969262
IND,2023,12,-1.6018021051160238,-0.15861173
IND,2024,1,-1.665753733678046,-0.15882026
IND,2024,2,-1.7347899338269497,-0.15691602
IND,2024,3,-1.8377954845229791,-0.14968401
IND,2024,4,-1.8078124722891664,-0.15043695
IND,2024,5,-1.8543259806370884,-0.12631178
IND,2024,6,-1.941968934721807,-0.14050765
IND,2024,7,-2.155280988101749,-0.1506967
IND,2024,8,-2.3159689262844174,-0.14962639
IND,2024,9,-2.3475657268324013,-0.15023054
IND,2024,10,-2.337450872382532,-0.15069321
IND,2024,11,-2.2936010126672457,-0.15065148
