Country,Year,Month,conflict_count,fatalities_sum,deaths_total,conflict_intensity,policy_uncertainty,global_uncertainty
AFG,2000,1,0,0,0,0.0,0.0,0.0
AFG,2000,2,0,0,3,2.0,0.0,0.0
AFG,2000,3,0,0,3,2.0,0.0,0.0
AFG,2000,4,0,0,0,2.0,0.0,0.0
AFG,2000,5,0,0,3,2.0,0.0,0.0
AFG,2000,6,0,0,3,2.0,0.0,0.0
AFG,2000,7,0,0,0,2.0,0.0,0.0
AFG,2000,8,0,0,3,2.0,0.0,0.0
AFG,2000,9,0,0,3,2.0,0.0,0.0
AFG,2000,10,0,0,0,2.0,0.0,0.0
AFG,2000,11,0,0,3,2.0,0.0,0.0
AFG,2000,12,0,0,3,2.0,0.0,0.0
AFG,2001,1,0,0,0,2.0,0.0,0.0
AFG,2001,2,0,0,441,2.0,0.0,0.0
AFG,2001,3,0,0,441,2.0,0.0,0.0
AFG,2001,4,0,0,0,2.0,0.0,0.0
AFG,2001,5,0,0,441,2.0,0.0,0.0
AFG,2001,6,0,0,441,2.0,0.0,0.0
AFG,2001,7,0,0,0,2.0,0.0,0.0
AFG,2001,8,0,0,441,2.0,0.0,0.0
AFG,2001,9,0,0,441,2.0,0.0,0.0
AFG,2001,10,0,0,0,2.0,0.0,0.2179124
AFG,2001,11,0,0,441,2.0,0.0,0.2179124
AFG,2001,12,0,0,441,2.0,0.0,0.2179124
AFG,2002,1,0,0,0,2.0,0.0,0.0
AFG,2002,2,0,0,30,1.0,0.0,0.0
AFG,2002,3,0,0,30,1.0,0.0,0.0
AFG,2002,4,0,0,0,1.0,0.0,0.0
AFG,2002,5,0,0,30,1.0,0.0,0.0
AFG,2002,6,0,0,30,1.0,0.0,0.0
AFG,2002,7,0,0,0,1.0,0.0,0.0
AFG,2002,8,0,0,30,1.0,0.0,0.0
AFG,2002,9,0,0,30,1.0,0.0,0.0
AFG,2002,10,0,0,0,1.0,0.0,0.0
AFG,2002,11,0,0,30,1.0,0.0,0.0
AFG,2002,12,0,0,30,1.0,0.0,0.0
AFG,2003,1,0,0,0,1.0,0.0,0.1053075
AFG,2003,2,0,0,19,1.0,0.0,0.1053075
AFG,2003,3,0,0,19,1.0,0.0,0.1053075
AFG,2003,4,0,0,0,1.0,0.0,0.0
AFG,2003,5,0,0,19,1.0,0.0,0.0
AFG,2003,6,0,0,19,1.0,0.0,0.0
AFG,2003,7,0,0,0,1.0,0.0,0.0
AFG,2003,8,0,0,19,1.0,0.0,0.0
AFG,2003,9,0,0,19,1.0,0.0,0.0
AFG,2003,10,0,0,0,1.0,0.0,0.0
AFG,2003,11,0,0,19,1.0,0.0,0.0
AFG,2003,12,0,0,19,1.0,0.0,0.0
AFG,2004,1,0,0,0,1.0,0.0,0.0
AFG,2004,2,0,0,3,1.0,0.0,0.0
AFG,2004,3,0,0,3,1.0,0.0,0.0
AFG,2004,4,0,0,0,1.0,0.0,0.0
AFG,2004,5,0,0,3,1.0,0.0,0.0
AFG,2004,6,0,0,3,1.0,0.0,0.0
AFG,2004,7,0,0,0,1.0,0.0,0.0
AFG,2004,8,0,0,3,1.0,0.0,0.0
AFG,2004,9,0,0,3,1.0,0.0,0.0
AFG,2004,10,0,0,0,1.0,0.0,0.0982415
AFG,2004,11,0,0,3,1.0,0.0,0.0982415
AFG,2004,12,0,0,3,1.0,0.0,0.0982415
AFG,2005,1,0,0,0,1.0,0.0,0.2174859
AFG,2005,2,0,0,2,2.0,0.0,0.2174859
AFG,2005,3,0,0,2,2.0,0.0,0.2174859
AFG,2005,4,0,0,0,2.0,0.0,0.0
AFG,2005,5,0,0,2,2.0,0.0,0.0
AFG,2005,6,0,0,2,2.0,0.0,0.0
AFG,2005,7,0,0,0,2.0,0.0,0.5707111
AFG,2005,8,0,0,2,2.0,0.0,0.5707111
AFG,2005,9,0,0,2,2.0,0.0,0.5707111
AFG,2005,10,0,0,0,2.0,0.0,0.4960317
AFG,2005,11,0,0,2,2.0,0.0,0.4960317
AFG,2005,12,0,0,2,2.0,0.0,0.4960317
AFG,2006,1,0,0,0,2.0,0.0,0.4189359
AFG,2006,2,0,0,4,2.0,0.0,0.4189359
AFG,2006,3,0,0,4,2.0,0.0,0.4189359
AFG,2006,4,0,0,0,2.0,0.0,0.1934236
AFG,2006,5,0,0,4,2.0,0.0,0.1934236
AFG,2006,6,0,0,4,2.0,0.0,0.1934236
AFG,2006,7,0,0,0,2.0,0.0,0.0
AFG,2006,8,0,0,4,2.0,0.0,0.0
AFG,2006,9,0,0,4,2.0,0.0,0.0
AFG,2006,10,0,0,0,2.0,0.0,0.0
AFG,2006,11,0,0,4,2.0,0.0,0.0
AFG,2006,12,0,0,4,2.0,0.0,0.0
AFG,2007,1,0,0,0,2.0,0.0,0.0
AFG,2007,2,0,0,1,2.0,0.0,0.0
AFG,2007,3,0,0,1,2.0,0.0,0.0
AFG,2007,4,0,0,0,2.0,0.0,0.1032311
AFG,2007,5,0,0,1,2.0,0.0,0.1032311
AFG,2007,6,0,0,1,2.0,0.0,0.1032311
AFG,2007,7,0,0,0,2.0,0.0,0.0
AFG,2007,8,0,0,1,2.0,0.0,0.0
AFG,2007,9,0,0,1,2.0,0.0,0.0
AFG,2007,10,0,0,0,2.0,0.0,0.0
AFG,2007,11,0,0,1,2.0,0.0,0.0
AFG,2007,12,0,0,1,2.0,0.0,0.0
AFG,2008,1,0,0,0,2.0,0.0,0.0960061
AFG,2008,2,0,0,8,2.0,0.0,0.0960061
AFG,2008,3,0,0,8,2.0,0.0,0.0960061
AFG,2008,4,0,0,0,2.0,0.0,0.207857
AFG,2008,5,0,0,8,2.0,0.0,0.207857
AFG,2008,6,0,0,8,2.0,0.0,0.207857
AFG,2008,7,0,0,0,2.0,0.0,0.2061431
AFG,2008,8,0,0,8,2.0,0.0,0.2061431
AFG,2008,9,0,0,8,2.0,0.0,0.2061431
AFG,2008,10,0,0,0,2.0,0.0,0.0958773
AFG,2008,11,0,0,8,2.0,0.0,0.0958773
AFG,2008,12,0,0,8,2.0,0.0,0.0958773
AFG,2009,1,0,0,0,2.0,0.0,0.0
AFG,2009,2,0,0,16,2.0,0.0,0.0
AFG,2009,3,0,0,16,2.0,0.0,0.0
AFG,2009,4,0,0,0,2.0,0.0,0.0
AFG,2009,5,0,0,16,2.0,0.0,0.0
AFG,2009,6,0,0,16,2.0,0.0,0.0
AFG,2009,7,0,0,0,2.0,0.0,0.0990001
AFG,2009,8,0,0,16,2.0,0.0,0.0990001
AFG,2009,9,0,0,16,2.0,0.0,0.0990001
AFG,2009,10,0,0,0,2.0,0.0,0.1050972
AFG,2009,11,0,0,16,2.0,0.0,0.1050972
AFG,2009,12,0,0,16,2.0,0.0,0.1050972
AFG,2010,1,0,0,0,2.0,0.0,0.1147842
AFG,2010,2,0,0,7,2.0,0.0,0.1147842
AFG,2010,3,0,0,7,2.0,0.0,0.1147842
AFG,2010,4,0,0,0,2.0,0.0,0.0
AFG,2010,5,0,0,7,2.0,0.0,0.0
AFG,2010,6,0,0,7,2.0,0.0,0.0
AFG,2010,7,0,0,0,2.0,0.0,0.0
AFG,2010,8,0,0,7,2.0,0.0,0.0
AFG,2010,9,0,0,7,2.0,0.0,0.0
AFG,2010,10,0,0,0,2.0,0.0,0.0
AFG,2010,11,0,0,7,2.0,0.0,0.0
AFG,2010,12,0,0,7,2.0,0.0,0.0
AFG,2011,1,0,0,0,2.0,0.0,0.0
AFG,2011,2,0,0,2,2.0,0.0,0.0
AFG,2011,3,0,0,2,2.0,0.0,0.0
AFG,2011,4,0,0,0,2.0,0.0,0.1153269
AFG,2011,5,0,0,2,2.0,0.0,0.1153269
AFG,2011,6,0,0,2,2.0,0.0,0.1153269
AFG,2011,7,0,0,0,2.0,0.0,0.0
AFG,2011,8,0,0,2,2.0,0.0,0.0
AFG,2011,9,0,0,2,2.0,0.0,0.0
AFG,2011,10,0,0,0,2.0,0.0,0.1133915
AFG,2011,11,0,0,2,2.0,0.0,0.1133915
AFG,2011,12,0,0,2,2.0,0.0,0.1133915
AFG,2012,1,0,0,0,2.0,0.0,0.0
AFG,2012,2,0,0,2,2.0,0.0,0.0
AFG,2012,3,0,0,2,2.0,0.0,0.0
AFG,2012,4,0,0,0,2.0,0.0,0.0
AFG,2012,5,0,0,2,2.0,0.0,0.0
AFG,2012,6,0,0,2,2.0,0.0,0.0
AFG,2012,7,0,0,0,2.0,0.0,0.4611483
AFG,2012,8,0,0,2,2.0,0.0,0.4611483
AFG,2012,9,0,0,2,2.0,0.0,0.4611483
AFG,2012,10,0,0,0,2.0,0.0,0.5775339
AFG,2012,11,0,0,2,2.0,0.0,0.5775339
AFG,2012,12,0,0,2,2.0,0.0,0.5775339
AFG,2013,1,0,0,0,2.0,0.0,0.3075346
AFG,2013,2,0,0,16,2.0,0.0,0.3075346
AFG,2013,3,0,0,16,2.0,0.0,0.3075346
AFG,2013,4,0,0,0,2.0,0.0,0.1962323
AFG,2013,5,0,0,16,2.0,0.0,0.1962323
AFG,2013,6,0,0,16,2.0,0.0,0.1962323
AFG,2013,7,0,0,0,2.0,0.0,1.218027
AFG,2013,8,0,0,16,2.0,0.0,1.218027
AFG,2013,9,0,0,16,2.0,0.0,1.218027
AFG,2013,10,0,0,0,2.0,0.0,0.5471657
AFG,2013,11,0,0,16,2.0,0.0,0.5471657
AFG,2013,12,0,0,16,2.0,0.0,0.5471657
AFG,2014,1,0,0,0,2.0,0.0,0.3037052
AFG,2014,2,0,0,1,2.0,0.0,0.3037052
AFG,2014,3,0,0,1,2.0,0.0,0.3037052
AFG,2014,4,0,0,0,2.0,0.0,0.5658242
AFG,2014,5,0,0,1,2.0,0.0,0.5658242
AFG,2014,6,0,0,1,2.0,0.0,0.5658242
AFG,2014,7,0,0,0,2.0,0.0,0.9633911
AFG,2014,8,0,0,1,2.0,0.0,0.9633911
AFG,2014,9,0,0,1,2.0,0.0,0.9633911
AFG,2014,10,0,0,0,2.0,0.0,0.3355705
AFG,2014,11,0,0,1,2.0,0.0,0.3355705
AFG,2014,12,0,0,1,2.0,0.0,0.3355705
AFG,2015,1,0,0,0,2.0,0.0,0.3885507
AFG,2015,2,0,0,1,1.0,0.0,0.3885507
AFG,2015,3,0,0,1,1.0,0.0,0.3885507
AFG,2015,4,0,0,0,1.0,0.0,0.3946719
AFG,2015,5,0,0,1,1.0,0.0,0.3946719
AFG,2015,6,0,0,1,1.0,0.0,0.3946719
AFG,2015,7,0,0,0,1.0,0.0,0.4304161
AFG,2015,8,0,0,1,1.0,0.0,0.4304161
AFG,2015,9,0,0,1,1.0,0.0,0.4304161
AFG,2015,10,0,0,0,1.0,0.0,0.2974862
AFG,2015,11,0,0,1,1.0,0.0,0.2974862
AFG,2015,12,0,0,1,1.0,0.0,0.2974862
AFG,2016,1,0,0,0,1.0,0.0,0.6753208
AFG,2016,2,0,0,0,2.0,0.0,0.6753208
AFG,2016,3,0,0,0,2.0,0.0,0.6753208
AFG,2016,4,0,0,0,2.0,0.0,0.2112974
AFG,2016,5,0,0,0,2.0,0.0,0.2112974
AFG,2016,6,0,0,0,2.0,0.0,0.2112974
AFG,2016,7,0,0,0,2.0,0.0,0.135888
AFG,2016,8,0,0,0,2.0,0.0,0.135888
AFG,2016,9,0,0,0,2.0,0.0,0.135888
AFG,2016,10,0,0,0,2.0,0.0,0.3270824
AFG,2016,11,0,0,0,2.0,0.0,0.3270824
AFG,2016,12,0,0,0,2.0,0.0,0.3270824
AFG,2017,1,0,0,0,2.0,0.0,0.4014774
AFG,2017,2,0,0,6,2.0,0.0,0.4014774
AFG,2017,3,0,0,6,2.0,0.0,0.4014774
AFG,2017,4,0,0,0,2.0,0.0,0.0823588
AFG,2017,5,0,0,6,2.0,0.0,0.0823588
AFG,2017,6,0,0,6,2.0,0.0,0.0823588
AFG,2017,7,0,0,0,2.0,0.0,0.6406971
AFG,2017,8,0,0,6,2.0,0.0,0.6406971
AFG,2017,9,0,0,6,2.0,0.0,0.6406971
AFG,2017,10,0,0,0,2.0,0.0,0.3549036
AFG,2017,11,0,0,6,2.0,0.0,0.3549036
AFG,2017,12,0,0,6,2.0,0.0,0.3549036
AFG,2018,1,0,0,0,2.0,0.0,0.1987281
AFG,2018,2,0,0,12,2.0,0.0,0.1987281
AFG,2018,3,0,0,12,2.0,0.0,0.1987281
AFG,2018,4,0,0,0,2.0,0.0,0.1334401
AFG,2018,5,0,0,12,2.0,0.0,0.1334401
AFG,2018,6,0,0,12,2.0,0.0,0.1334401
AFG,2018,7,0,0,0,2.0,0.0,0.1289324
AFG,2018,8,0,0,12,2.0,0.0,0.1289324
AFG,2018,9,0,0,12,2.0,0.0,0.1289324
AFG,2018,10,0,0,0,2.0,0.0,0.2363787
AFG,2018,11,0,0,12,2.0,0.0,0.2363787
AFG,2018,12,0,0,12,2.0,0.0,0.2363787
AFG,2019,1,0,0,0,2.0,0.0,0.1337077
AFG,2019,2,0,0,3,2.0,0.0,0.1337077
