Country,Year,Month,risk_score,risk_raw,risk_category
AFG,2000,1,0.029916422,0.006307197,Very Low
AFG,2000,2,0.4769948,0.47117442,Medium
AFG,2000,3,0.5189897,0.51484025,Medium
AFG,2000,4,0.90781724,0.91913885,Very High
AFG,2000,5,0.57867306,0.57689834,Medium
AFG,2000,6,0.5895673,0.5882261,Medium
AFG,2000,7,0.92170614,0.9335804,Very High
AFG,2000,8,0.58798105,0.5865767,Medium
AFG,2000,9,0.5867493,0.585296,Medium
AFG,2000,10,0.91921455,0.9309897,Very High
AFG,2000,11,0.5652578,0.5629493,Medium
AFG,2000,12,0.5693642,0.5672191,Medium
AFG,2001,1,0.89074945,0.901392,Very High
AFG,2001,2,0.46436554,0.45804262,Medium
AFG,2001,3,0.62343013,0.6234363,High
AFG,2001,4,0.90781724,0.91913885,Very High
AFG,2001,5,0.80125725,0.80833894,Very High
AFG,2001,6,0.83587724,0.84433645,Very High
AFG,2001,7,0.92170614,0.9335804,Very High
AFG,2001,8,0.84417284,0.85296214,Very High
AFG,2001,9,0.82003397,0.8278628,Very High
AFG,2001,10,0.5701946,0.5680825,Medium
AFG,2001,11,0.7125123,0.71606296,High
AFG,2001,12,0.6990568,0.702072,High
AFG,2002,1,0.51677847,0.512541,Medium
AFG,2002,2,0.47874054,0.4729896,Medium
AFG,2002,3,0.50816756,0.5035875,Medium
AFG,2002,4,0.27286148,0.2589188,Low
AFG,2002,5,0.47759914,0.4718028,Medium
AFG,2002,6,0.46901608,0.4628782,Medium
AFG,2002,7,0.26760575,0.25345394,Low
AFG,2002,8,0.48777318,0.48238167,Medium
AFG,2002,9,0.4830271,0.47744676,Medium
AFG,2002,10,0.2830468,0.2695094,Low
AFG,2002,11,0.48871857,0.48336467,Medium
AFG,2002,12,0.4867952,0.48136476,Medium
AFG,2003,1,0.31274325,0.30038744,Low
AFG,2003,2,0.39007637,0.38079756,Low
AFG,2003,3,0.41233125,0.40393794,Medium
AFG,2003,4,0.32915068,0.3174477,Low
AFG,2003,5,0.45338687,0.44662714,Medium
AFG,2003,6,0.45530862,0.44862536,Medium
AFG,2003,7,0.25720143,0.24263567,Low
AFG,2003,8,0.4567183,0.45009112,Medium
AFG,2003,9,0.4553418,0.44865984,Medium
AFG,2003,10,0.2830468,0.2695094,Low
