Country,avg_risk,latest_risk,min_risk,max_risk,std_risk,total_months,risk_trend
"Australia, Iraq, United Kingdom, United States of America",0.8168637,0.92569137,0.025535397,0.9269302,0.2792235,324,0.10882765
"Afghanistan, United Kingdom, United States of America",0.8825398,0.92569137,0.025535397,0.9269302,0.16797382,324,0.043151557
ESP,0.24192716,0.8238812,0.025535397,0.8564282,0.212401,324,0.58195406
VNM,0.16547735,0.7859395,0.018611887,0.7859395,0.14818181,324,0.6204622
LKA,0.47449577,0.7373673,0.03722769,0.9269302,0.14800501,324,0.2628715
ISR,0.36561018,0.7351506,0.029916422,0.7943637,0.1495021,324,0.3695404
ZWE,0.18140745,0.6476904,0.024541983,0.7699352,0.18787783,324,0.46628296
SLV,0.18703024,0.64181435,0.025535397,1.0,0.2026546,324,0.4547841
"Cambodia (Kampuchea), Thailand",0.38839963,0.63404286,0.025535397,0.6446341,0.29869005,324,0.24564323
ERI,0.49733385,0.63404286,0.025535397,0.6801234,0.1678825,324,0.136709
COG,0.4833796,0.63404286,0.029916422,0.7443457,0.12862678,324,0.15066326
BFA,0.2547271,0.63404286,0.025535397,0.8139501,0.21696566,324,0.37931576
"China, India",0.186097,0.63404286,0.025535397,0.6446341,0.26639402,324,0.44794586
CAF,0.49942628,0.63404286,0.028707027,0.71064836,0.096440926,324,0.13461658
"Afghanistan, Pakistan",0.09618471,0.63404286,0.025535397,0.6446341,0.19104874,324,0.5378581
GIN,0.4873134,0.63404286,0.029916422,0.7675281,0.07381127,324,0.14672947
HTI,0.44886544,0.63404286,0.037490778,0.80138206,0.16157696,324,0.18517742
MOZ,0.32314068,0.63404286,0.025232237,0.67933047,0.23814602,324,0.31090218
MMR,0.50794417,0.63404286,0.036017593,0.6968414,0.084900185,324,0.12609869
UZB,0.49726412,0.63404286,0.029916422,0.79558706,0.087499715,324,0.13677874
"Kyrgyzstan, Tajikistan",0.16361892,0.63404286,0.025535397,0.6446341,0.2527246,324,0.47042394
MRT,0.36357805,0.63404286,0.025232237,0.6798954,0.23053944,324,0.2704648
SLE,0.47843942,0.63404286,0.029916422,0.74601626,0.08070676,324,0.15560344
"Djibouti, Eritrea",0.45583385,0.63404286,0.025535397,0.6446341,0.2775847,324,0.178209
THA,0.49063596,0.60925037,0.027805218,0.6713021,0.12681831,324,0.118614405
SVK,0.14975892,0.6048374,0.025232237,0.6048374,0.13136812,324,0.45507848
ROU,0.19762315,0.603507,0.026972974,0.8731692,0.16773699,324,0.40588385
CZE,0.16832802,0.5999374,0.025535397,0.6215646,0.13139904,324,0.43160936
IRN,0.50599617,0.58927673,0.03460253,0.66156036,0.09466944,324,0.08328056
MYS,0.28335598,0.5819302,0.023730323,0.6272525,0.21401617,324,0.29857424
LBN,0.31509507,0.5813371,0.02610548,0.6439107,0.19502972,324,0.26624203
PRY,0.14248744,0.57360685,0.025232237,0.7615486,0.13464919,324,0.4311194
IDN,0.46946603,0.5600603,0.04780307,0.7393744,0.08354989,324,0.09059429
NGA,0.42586768,0.5578292,0.027647708,0.8594654,0.17311034,324,0.13196152
TUN,0.30535972,0.5538762,0.023517448,0.76599026,0.21903698,324,0.2485165
OMN,0.124614164,0.5388582,0.023927424,0.5388582,0.10281402,324,0.414244
PER,0.40890542,0.5238333,0.02653201,0.78045315,0.16106288,324,0.11492786
ETH,0.38175333,0.5115632,0.030171214,0.6930839,0.110134475,324,0.12980986
SDN,0.4698836,0.5088021,0.029916422,0.91921455,0.13925602,324,0.038918525
BGD,0.43261045,0.5047603,0.029916422,0.7394759,0.16846518,324,0.07214987
DEU,0.21610829,0.5018724,0.023160242,0.7838417,0.20289223,324,0.28576413
SWE,0.20414661,0.4978742,0.023945104,0.57172674,0.17948452,324,0.29372758
LBR,0.5540451,0.49487644,0.029916422,0.9269302,0.14889403,324,-0.059168637
GRC,0.2174539,0.49119014,0.025232237,0.82705504,0.19924125,324,0.27373624
TJK,0.49961782,0.47625673,0.029916422,0.78389883,0.08478983,324,-0.023361087
TUR,0.40043122,0.4759235,0.041775826,0.72757167,0.12566738,324,0.07549229
TGO,0.17674007,0.47271153,0.025535397,0.63281655,0.16635314,324,0.29597145
SEN,0.47293702,0.46208706,0.036811367,0.74828947,0.065478235,324,-0.010849953
TWN,0.20784628,0.45727742,0.021049062,0.64543235,0.16368628,324,0.24943113
BEL,0.1751148,0.45605683,0.025232237,0.61166495,0.17173393,324,0.28094202
BEN,0.18273726,0.45605582,0.025535397,0.6446341,0.17342779,324,0.27331856
CMR,0.26104218,0.4474931,0.025535397,0.8206231,0.22729565,324,0.18645093
TZA,0.21029262,0.44629508,0.026555287,0.63899416,0.1808884,324,0.23600246
AUT,0.15995002,0.44331852,0.023730323,0.7497526,0.1467105,324,0.2833685
EGY,0.272978,0.4412819,0.026858447,0.77273387,0.19236462,324,0.1683039
CHN,0.35483927,0.43614444,0.019600917,0.6785623,0.20436059,324,0.081305176
KEN,0.326858,0.43212676,0.027351825,0.69223434,0.17403993,324,0.10526875
NER,0.40013108,0.4266154,0.025232237,0.79167676,0.2134648,324,0.02648431
MKD,0.4599667,0.4244476,0.030071484,0.6263365,0.07357887,324,-0.035519093
CIV,0.47314963,0.42339608,0.041775826,0.81608367,0.12977107,324,-0.049753547
GEO,0.4003247,0.4162352,0.025232237,0.6446341,0.15729235,324,0.015910506
MLI,0.31179327,0.39843887,0.025232237,0.6106663,0.14935173,324,0.0866456
JOR,0.23415415,0.39710996,0.02395999,0.58928394,0.20890766,324,0.1629558
GTM,0.21868193,0.3711096,0.026992133,0.6723009,0.15886763,324,0.15242767
IRL,0.1684602,0.36845967,0.025535397,0.5789301,0.14302462,324,0.19999947
RUS,0.3778736,0.3543421,0.032542784,0.61006504,0.09585868,324,-0.023531497
ECU,0.18825318,0.34066013,0.027351825,0.6396739,0.13629304,324,0.15240695
NPL,0.37169945,0.33670533,0.029916422,0.89074945,0.08916986,324,-0.034994125
MNG,0.14242147,0.3358381,0.025232237,0.57565147,0.0972097,324,0.19341664
MDG,0.11060119,0.3358381,0.025232237,0.5385417,0.08287112,324,0.22523692
ARG,0.16882935,0.3358381,0.03598603,0.82743675,0.12613238,324,0.16700876
AZE,0.30575398,0.3346769,0.027351825,0.5741479,0.12073102,324,0.028922915
FRA,0.2077437,0.33328107,0.029916422,0.67804825,0.18342334,324,0.12553737
USA,0.3040914,0.3326579,0.026858447,0.58822894,0.10245926,324,0.02856651
IND,0.42275593,0.33028713,0.03664615,0.72936803,0.1573837,324,-0.0924688
HKG,0.09893249,0.32965276,0.025232237,0.58995,0.08215068,324,0.23072027
YEM,0.39982873,0.32189295,0.025535397,0.79375017,0.24577087,324,-0.077935785
PAK,0.43858883,0.305774,0.028707027,0.6898294,0.17675076,324,-0.13281482
