country,state,year,infrastructure_risk,predicted_risk
IND,Andaman and Nicobar Islands,2002,0.2863072670863615,0.20284729
IND,Andaman and Nicobar Islands,2008,0.2863072670863615,0.20284729
IND,Andaman and Nicobar Islands,2011,0.2863072670863615,0.20284729
IND,Andaman and Nicobar Islands,2012,0.338497147747601,0.30912217
IND,Andaman and Nicobar Islands,2015,0.338497147747601,0.30912217
IND,Andaman and Nicobar Islands,2016,0.338497147747601,0.30912217
IND,Andaman and Nicobar Islands,2017,0.338497147747601,0.30912217
IND,Andaman and Nicobar Islands,2018,0.338497147747601,0.30912217
IND,Andaman and Nicobar Islands,2019,0.338497147747601,0.30912217
IND,Andaman and Nicobar Islands,2020,0.338497147747601,0.30912217
IND,Andaman and Nicobar Islands,2021,0.338497147747601,0.30912217
IND,Andaman and Nicobar Islands,2022,0.338497147747601,0.30912217
IND,Andhra Pradesh,2002,0.3020777371829657,0.23495562
IND,Andhra Pradesh,2008,0.3020777371829657,0.23495562
IND,Andhra Pradesh,2011,0.3020777371829657,0.23495562
IND,Andhra Pradesh,2012,0.338497147747601,0.30912217
IND,Andhra Pradesh,2015,0.338497147747601,0.30912217
IND,Andhra Pradesh,2016,0.338497147747601,0.30912217
IND,Andhra Pradesh,2017,0.338497147747601,0.30912217
IND,Andhra Pradesh,2018,0.338497147747601,0.30912217
IND,Andhra Pradesh,2019,0.338497147747601,0.30912217
IND,Andhra Pradesh,2020,0.338497147747601,0.30912217
IND,Andhra Pradesh,2021,0.338497147747601,0.30912217
IND,Andhra Pradesh,2022,0.338497147747601,0.30912217
IND,Arunachal Pradesh,2002,0.3161381338962566,0.2635594
IND,Arunachal Pradesh,2008,0.3161381338962566,0.2635594
IND,Arunachal Pradesh,2011,0.3161381338962566,0.2635594
IND,Arunachal Pradesh,2012,0.338497147747601,0.30912217
IND,Arunachal Pradesh,2015,0.338497147747601,0.30912217
IND,Arunachal Pradesh,2016,0.338497147747601,0.30912217
IND,Arunachal Pradesh,2017,0.338497147747601,0.30912217
IND,Arunachal Pradesh,2018,0.338497147747601,0.30912217
IND,Arunachal Pradesh,2019,0.338497147747601,0.30912217
IND,Arunachal Pradesh,2020,0.338497147747601,0.30912217
IND,Arunachal Pradesh,2021,0.338497147747601,0.30912217
IND,Arunachal Pradesh,2022,0.338497147747601,0.30912217
IND,Assam,2002,0.3742160525812467,0.38168272
IND,Assam,2008,0.3742160525812467,0.3824241
IND,Assam,2011,0.3742160525812467,0.3817846
IND,Assam,2012,0.338497147747601,0.3092537
IND,Assam,2015,0.338497147747601,0.30912217
IND,Assam,2016,0.338497147747601,0.30912217
IND,Assam,2017,0.338497147747601,0.30912217
IND,Assam,2018,0.338497147747601,0.30912217
IND,Assam,2019,0.338497147747601,0.30912217
IND,Assam,2020,0.338497147747601,0.30912217
IND,Assam,2021,0.338497147747601,0.30912217
IND,Assam,2022,0.338497147747601,0.30912217
IND,Bihar,2002,0.301200328025213,0.23318364
IND,Bihar,2008,0.301200328025213,0.23318364
IND,Bihar,2011,0.301200328025213,0.23318364
IND,Bihar,2012,0.338497147747601,0.30912217
IND,Bihar,2015,0.338497147747601,0.30912217
IND,Bihar,2016,0.338497147747601,0.30912217
IND,Bihar,2017,0.338497147747601,0.30912217
IND,Bihar,2018,0.338497147747601,0.30912217
IND,Bihar,2019,0.338497147747601,0.30912217
IND,Bihar,2020,0.338497147747601,0.30912217
IND,Bihar,2021,0.338497147747601,0.30912217
IND,Bihar,2022,0.338497147747601,0.30912217
IND,Chandigarh,2002,0.2806237323263186,0.19156559
IND,Chandigarh,2008,0.2806237323263186,0.19156559
IND,Chandigarh,2011,0.2806237323263186,0.19156559
IND,Chandigarh,2012,0.338497147747601,0.30912217
IND,Chandigarh,2015,0.338497147747601,0.30912217
IND,Chandigarh,2016,0.338497147747601,0.30912217
IND,Chandigarh,2017,0.338497147747601,0.30912217
IND,Chandigarh,2018,0.338497147747601,0.30912217
IND,Chandigarh,2019,0.338497147747601,0.30912217
IND,Chandigarh,2020,0.338497147747601,0.30912217
IND,Chandigarh,2021,0.338497147747601,0.30912217
IND,Chandigarh,2022,0.338497147747601,0.30912217
IND,Chhattisgarh,2002,0.3047109022247795,0.240311
IND,Chhattisgarh,2008,0.3047109022247795,0.240311
IND,Chhattisgarh,2011,0.3047109022247795,0.240311
IND,Chhattisgarh,2012,0.338497147747601,0.30912217
IND,Chhattisgarh,2015,0.338497147747601,0.30912217
IND,Chhattisgarh,2016,0.338497147747601,0.30912217
IND,Chhattisgarh,2017,0.338497147747601,0.30912217
IND,Chhattisgarh,2018,0.338497147747601,0.30912217
IND,Chhattisgarh,2019,0.338497147747601,0.30912217
IND,Chhattisgarh,2020,0.338497147747601,0.30912217
IND,Chhattisgarh,2021,0.338497147747601,0.30912217
IND,Chhattisgarh,2022,0.338497147747601,0.30912217
IND,Dadra and Nagar Haveli and Daman & Diu,2017,0.3386289130606023,0.3097358
IND,Dadra and Nagar Haveli and Daman & Diu,2018,0.3386289130606023,0.3097358
IND,Dadra and Nagar Haveli and Daman & Diu,2019,0.3386289130606023,0.3097358
IND,Dadra and Nagar Haveli and Daman & Diu,2020,0.3386289130606023,0.3097358
IND,Dadra and Nagar Haveli and Daman & Diu,2021,0.3386289130606023,0.3097358
IND,Dadra and Nagar Haveli and Daman & Diu,2022,0.3386289130606023,0.3097358
IND,Delhi,2002,0.2990074795361406,0.2286995
IND,Delhi,2008,0.2990074795361406,0.2286995
IND,Delhi,2011,0.2990074795361406,0.2286995
IND,Delhi,2012,0.338497147747601,0.30912217
IND,Goa,2002,0.3201003796981207,0.27173522
IND,Goa,2008,0.3201003796981207,0.27173522
IND,Goa,2011,0.3201003796981207,0.27173522
IND,Goa,2012,0.338497147747601,0.30912217
IND,Goa,2015,0.338497147747601,0.30912217
IND,Goa,2016,0.338497147747601,0.30912217
IND,Goa,2017,0.338497147747601,0.30912217
IND,Goa,2018,0.338497147747601,0.30912217
IND,Goa,2019,0.338497147747601,0.30912217
IND,Goa,2020,0.338497147747601,0.30912217
IND,Goa,2021,0.338497147747601,0.30912217
IND,Goa,2022,0.338497147747601,0.30912217
IND,Gujarat,2002,0.2911209987255445,0.2126975
IND,Gujarat,2008,0.2911209987255445,0.2126975
IND,Gujarat,2011,0.2911209987255445,0.2126975
