Country,State,Year,"Annual Exponential Growth Rate (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2001",2.11
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2001",3.05
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2001",3.31
India,Assam,"Calendar Year (Jan - Dec), 2001",2.46
India,Bihar,"Calendar Year (Jan - Dec), 2001",3.03
India,Chandigarh,"Calendar Year (Jan - Dec), 2001",2.39
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2001",3.5
India,Delhi,"Calendar Year (Jan - Dec), 2001",2.38
India,Goa,"Calendar Year (Jan - Dec), 2001",3.02
India,Gujarat,"Calendar Year (Jan - Dec), 2001",3.07
India,Haryana,"Calendar Year (Jan - Dec), 2001",3.69
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2001",1.45
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2001",3.11
India,Jharkhand,"Calendar Year (Jan - Dec), 2001",2.8
India,Karnataka,"Calendar Year (Jan - Dec), 2001",2.74
India,Kerala,"Calendar Year (Jan - Dec), 2001",6.56
India,Ladakh,"Calendar Year (Jan - Dec), 2001",3.11
India,Lakshadweep,"Calendar Year (Jan - Dec), 2001",6.24
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2001",2.29
India,Maharashtra,"Calendar Year (Jan - Dec), 2001",2.12
India,Manipur,"Calendar Year (Jan - Dec), 2001",3.7
India,Meghalaya,"Calendar Year (Jan - Dec), 2001",2.71
India,Mizoram,"Calendar Year (Jan - Dec), 2001",2.6
India,Nagaland,"Calendar Year (Jan - Dec), 2001",5.1
India,Odisha,"Calendar Year (Jan - Dec), 2001",2.39
India,Puducherry,"Calendar Year (Jan - Dec), 2001",2.74
India,Punjab,"Calendar Year (Jan - Dec), 2001",2.3
India,Rajasthan,"Calendar Year (Jan - Dec), 2001",2.55
India,Sikkim,"Calendar Year (Jan - Dec), 2001",9.42
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2001",2.39
India,Telangana,"Calendar Year (Jan - Dec), 2001",3.05
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2001",11.5900000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2001",5.66
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2001",2.53
India,Uttarakhand,"Calendar Year (Jan - Dec), 2001",3.36
India,West Bengal,"Calendar Year (Jan - Dec), 2001",2.6
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 1991",4.48
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 1991",1.52
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 1991",7.49
India,Assam,"Calendar Year (Jan - Dec), 1991",3.29
India,Bihar,"Calendar Year (Jan - Dec), 1991",
India,Chandigarh,"Calendar Year (Jan - Dec), 1991",3.45
India,Chhattisgarh,"Calendar Year (Jan - Dec), 1991",
India,Delhi,"Calendar Year (Jan - Dec), 1991",4.3
India,Goa,"Calendar Year (Jan - Dec), 1991",3.41
India,Gujarat,"Calendar Year (Jan - Dec), 1991",2.88
India,Haryana,"Calendar Year (Jan - Dec), 1991",4.19
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 1991",2.86
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 1991",3.18
India,Jharkhand,"Calendar Year (Jan - Dec), 1991",
India,Karnataka,"Calendar Year (Jan - Dec), 1991",2.59
India,Kerala,"Calendar Year (Jan - Dec), 1991",0.74
India,Ladakh,"Calendar Year (Jan - Dec), 1991",3.18
India,Lakshadweep,"Calendar Year (Jan - Dec), 1991",-0.76
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 1991",
India,Maharashtra,"Calendar Year (Jan - Dec), 1991",3.01
India,Manipur,"Calendar Year (Jan - Dec), 1991",1.31
India,Meghalaya,"Calendar Year (Jan - Dec), 1991",3.24
India,Mizoram,"Calendar Year (Jan - Dec), 1991",3.33
India,Nagaland,"Calendar Year (Jan - Dec), 1991",5.11
India,Odisha,"Calendar Year (Jan - Dec), 1991",2.68
India,Puducherry,"Calendar Year (Jan - Dec), 1991",2.29
India,Punjab,"Calendar Year (Jan - Dec), 1991",3.26
India,Rajasthan,"Calendar Year (Jan - Dec), 1991",2.76
India,Sikkim,"Calendar Year (Jan - Dec), 1991",4.93
India,Tamil Nadu,"Calendar Year (Jan - Dec), 1991",3.72
India,Telangana,"Calendar Year (Jan - Dec), 1991",1.52
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 1991",8.8000000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 1991",2.61
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 1991",
India,Uttarakhand,"Calendar Year (Jan - Dec), 1991",
India,West Bengal,"Calendar Year (Jan - Dec), 1991",1.83
