Country,State,Year,Additional Info,"Percentage Of Households With Source Of Drinking Water (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households With Electricity (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households With Septic Tank Or Flush (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households With No Latrine (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.9,95.0,5.0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.3,88.2,8.1
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,98.1,88.7,0.0
India,Assam,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,98.9,89.5,0.3
India,Bihar,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,89.2,71.3,20.8
India,Chandigarh,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,98.3,97.1,1.6
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.1,72.1,24.9
India,Delhi,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.9,98.6,0.0
India,Goa,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,100.0,95.1,4.0
India,Gujarat,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,98.9,90.2,6.2
India,Haryana,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.3,84.6,1.4
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.7,95.3,4.3
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.9,77.1,6.0
India,Jharkhand,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,94.4,79.1,17.7
India,Karnataka,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.5,74.6,9.0
India,Kerala,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,98.7,51.5,1.2
India,Ladakh,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.9,77.1,6.0
India,Lakshadweep,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,100.0,70.8,2.3
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.4,76.8,14.0
India,Maharashtra,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.1,91.5,6.9
India,Manipur,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.4,51.4,0.0
India,Meghalaya,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,98.3,87.6,0.2
India,Mizoram,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,100.0,91.2,0.0
India,Nagaland,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.5,92.1,0.0
India,Odisha,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,97.3,68.8,18.2
India,Puducherry,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.1,90.6,6.3
India,Punjab,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.7,86.6,6.2
India,Rajasthan,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,98.4,65.4,14.2
India,Sikkim,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,100.0,97.9,0.0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,98.8,79.9,12.2
India,Telangana,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.3,88.2,8.1
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,100.000000000000000000000,88.424436111318919727733,11.575563888681080272267
India,Tripura,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,98.9,54.1,0.1
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,92.4,83.8,10.7
India,Uttarakhand,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,99.1,67.8,1.6
India,West Bengal,"Financial Year (Apr - Mar), 2012",NSSO 69th round,,96.8,75.2,5.4
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2011",,98.1,,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",,94.5,,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2011",,91.3,,,
India,Assam,"Financial Year (Apr - Mar), 2011",,78.2,,,
India,Bihar,"Financial Year (Apr - Mar), 2011",,94.7,,,
India,Chandigarh,"Financial Year (Apr - Mar), 2011",,99.4,,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",,93.9,,,
India,Delhi,"Financial Year (Apr - Mar), 2011",,95.2,,,
India,Goa,"Financial Year (Apr - Mar), 2011",,90.4,,,
India,Gujarat,"Financial Year (Apr - Mar), 2011",,97.0,,,
India,Haryana,"Financial Year (Apr - Mar), 2011",,96.7,,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2011",,97.8,,,
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2011",,96.1,,,
India,Jharkhand,"Financial Year (Apr - Mar), 2011",,78.4,,,
India,Karnataka,"Financial Year (Apr - Mar), 2011",,92.3,,,
India,Kerala,"Financial Year (Apr - Mar), 2011",,39.4,,,
India,Ladakh,"Financial Year (Apr - Mar), 2011",,96.1,,,
India,Lakshadweep,"Financial Year (Apr - Mar), 2011",,20.2,,,
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2011",,92.1,,,
India,Maharashtra,"Financial Year (Apr - Mar), 2011",,95.7,,,
India,Manipur,"Financial Year (Apr - Mar), 2011",,60.8,,,
India,Meghalaya,"Financial Year (Apr - Mar), 2011",,79.5,,,
India,Mizoram,"Financial Year (Apr - Mar), 2011",,75.8,,,
India,Nagaland,"Financial Year (Apr - Mar), 2011",,51.8,,,
India,Odisha,"Financial Year (Apr - Mar), 2011",,79.8,,,
India,Puducherry,"Financial Year (Apr - Mar), 2011",,97.0,,,
India,Punjab,"Financial Year (Apr - Mar), 2011",,98.9,,,
India,Rajasthan,"Financial Year (Apr - Mar), 2011",,94.3,,,
India,Sikkim,"Financial Year (Apr - Mar), 2011",,92.2,,,
India,Tamil Nadu,"Financial Year (Apr - Mar), 2011",,92.9,,,
India,Telangana,"Financial Year (Apr - Mar), 2011",,94.5,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2011",,98.785503478716241490238,,,
India,Tripura,"Financial Year (Apr - Mar), 2011",,91.9,,,
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2011",,97.9,,,
India,Uttarakhand,"Financial Year (Apr - Mar), 2011",,98.7,,,
India,West Bengal,"Financial Year (Apr - Mar), 2011",,93.9,,,
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,98.5,93.9,6.1
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,97.5,85.3,11.2
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,98.5,61.5,0.1
India,Assam,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,94.6,84.8,0.9
India,Bihar,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,79.4,61.9,27.7
India,Chandigarh,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,98.5,99.4,0.6
India,Chhattisgarh,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,96.7,64.3,31.5
India,Delhi,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,98.6,92.8,1.2
India,Goa,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,97.3,87.6,9.6
India,Gujarat,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,99.0,79.5,7.3
India,Haryana,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,98.3,73.5,8.4
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,99.4,87.5,8.8
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,97.5,71.3,11.8
India,Jharkhand,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,93.9,70.6,24.5
India,Karnataka,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,97.9,72.8,11.3
India,Kerala,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,97.9,50.6,1.5
India,Ladakh,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,97.5,71.3,11.8
India,Lakshadweep,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,100.0,62.0,1.0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,96.9,66.2,24.3
India,Maharashtra,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,98.5,89.4,5.9
India,Manipur,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,99.5,51.6,
India,Meghalaya,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,99.3,79.1,0.2
India,Mizoram,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,99.8,82.3,
India,Nagaland,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,100.0,70.1,1.3
India,Odisha,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,90.1,56.2,29.1
India,Puducherry,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,99.3,84.8,9.1
India,Punjab,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,99.3,84.1,5.0
India,Rajasthan,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,97.0,70.3,12.6
India,Sikkim,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,99.4,98.9,
India,Tamil Nadu,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,97.8,79.1,16.0
India,Telangana,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,97.5,85.3,11.2
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,98.329484925562953542302,86.842997680855839006508,6.650245941497718261389
India,Tripura,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,95.3,48.6,0.9
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,89.8,72.8,14.2
India,Uttarakhand,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,98.6,70.6,3.3
India,West Bengal,"Financial Year (Apr - Mar), 2008", NSSO 65th round and the duration is 2008-09,,93.3,73.4,5.6
