Country,Year,Source Countries,"Annual Urban Population At Mid-Year (UOM:Number), Scaling Factor:1000","Percentage Of Population Living In Urban Areas (UOM:%(Percentage)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2018",India,460780,34.03
India,"Calendar Year (Jan - Dec), 2018",Africa,547602,42.52
India,"Calendar Year (Jan - Dec), 2018",Asia,2266131,49.86
India,"Calendar Year (Jan - Dec), 2018",Europe,552911,74045
India,"Calendar Year (Jan - Dec), 2018",Latin America and Caribbean,526057,80.68
India,"Calendar Year (Jan - Dec), 2018",North America,298987,82.17
India,"Calendar Year (Jan - Dec), 2018",Oceania,28129,68.17
India,"Calendar Year (Jan - Dec), 2018",World,4219817,55.29
India,"Calendar Year (Jan - Dec), 2015",India,429069,32.78
India,"Calendar Year (Jan - Dec), 2015",Africa,491531,41.15
India,"Calendar Year (Jan - Dec), 2015",Asia,2119873,47.96
India,"Calendar Year (Jan - Dec), 2015",Europe,547147,73.86
India,"Calendar Year (Jan - Dec), 2015",Latin America and Caribbean,505392,79.92
India,"Calendar Year (Jan - Dec), 2015",North America,290616,81.63
India,"Calendar Year (Jan - Dec), 2015",Oceania,26938,68.12
India,"Calendar Year (Jan - Dec), 2015",World,3981498,53.93
India,"Calendar Year (Jan - Dec), 2010",India,380745,30.93
India,"Calendar Year (Jan - Dec), 2010",Africa,408587,38.93
India,"Calendar Year (Jan - Dec), 2010",Asia,1877015,44.75
India,"Calendar Year (Jan - Dec), 2010",Europe,537673,72.94
India,"Calendar Year (Jan - Dec), 2010",Latin America and Caribbean,469583,78.58
India,"Calendar Year (Jan - Dec), 2010",North America,277070,80.79
India,"Calendar Year (Jan - Dec), 2010",Oceania,24941,68.08
India,"Calendar Year (Jan - Dec), 2010",World,3594868,51.66
India,"Calendar Year (Jan - Dec), 2005",India,334479,29.24
India,"Calendar Year (Jan - Dec), 2005",Africa,341034,36.88
India,"Calendar Year (Jan - Dec), 2005",Asia,1631489,41.15
India,"Calendar Year (Jan - Dec), 2005",Europe,525432,71.95
India,"Calendar Year (Jan - Dec), 2005",Latin America and Caribbean,433253,77.14
India,"Calendar Year (Jan - Dec), 2005",North America,261880,79.95
India,"Calendar Year (Jan - Dec), 2005",Oceania,22818,67.98
India,"Calendar Year (Jan - Dec), 2005",World,3215906,49.16
India,"Calendar Year (Jan - Dec), 2000",India,291350,27.67
India,"Calendar Year (Jan - Dec), 2000",Africa,285998,34.98
India,"Calendar Year (Jan - Dec), 2000",Asia,1399722,37.52
India,"Calendar Year (Jan - Dec), 2000",Europe,516725,71.06
India,"Calendar Year (Jan - Dec), 2000",Latin America and Caribbean,397062,75.52
India,"Calendar Year (Jan - Dec), 2000",North America,247471,79.1
India,"Calendar Year (Jan - Dec), 2000",Oceania,21329,68.3
India,"Calendar Year (Jan - Dec), 2000",World,2868308,46.68
