Country,Year,Name Of Urban Lobal Body (Ulb) Population Category,"Capital Expenditure For City Finance National Performance With Population Category (UOM:INR(IndianRupees)), Scaling Factor:10000000","Capital Expenditure Per Capita For City Finance National Performance With Population Category (UOM:INR(IndianRupees)), Scaling Factor:1","Percentage Of Data Availability For City Finance National Performance Capital Expenditure With Population Category (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2022",4 Million+,29504,7691,75
India,"Financial Year (Apr - Mar), 2022",500 Thousand - 1 Million,4489,1813,80
India,"Financial Year (Apr - Mar), 2022",1 Million - 4 Million,18041,3588,87
India,"Financial Year (Apr - Mar), 2022",100 Thousand - 500 Thousand,1472,1315,14
India,"Financial Year (Apr - Mar), 2022",< 100 Thousand,3815,1860,18
India,"Financial Year (Apr - Mar), 2022",All ULBs,57321,3950,19
India,"Financial Year (Apr - Mar), 2021",4 Million+,20342,4346,88
India,"Financial Year (Apr - Mar), 2021",500 Thousand - 1 Million,1866,813,74
India,"Financial Year (Apr - Mar), 2021",1 Million - 4 Million,12071,2496,82
India,"Financial Year (Apr - Mar), 2021",100 Thousand - 500 Thousand,8013,1457,75
India,"Financial Year (Apr - Mar), 2021",< 100 Thousand,9503,1527,52
India,"Financial Year (Apr - Mar), 2021",All ULBs,51795,2201,54
India,"Financial Year (Apr - Mar), 2020",4 Million+,14819,3166,88
India,"Financial Year (Apr - Mar), 2020",500 Thousand - 1 Million,2686,1186,72
India,"Financial Year (Apr - Mar), 2020",1 Million - 4 Million,36611,7569,82
India,"Financial Year (Apr - Mar), 2020",100 Thousand - 500 Thousand,7891,1492,73
India,"Financial Year (Apr - Mar), 2020",< 100 Thousand,9026,1474,50
India,"Financial Year (Apr - Mar), 2020",All ULBs,71033,3062,52
India,"Financial Year (Apr - Mar), 2019",4 Million+,0,0,0
India,"Financial Year (Apr - Mar), 2019",500 Thousand - 1 Million,699,826,26
India,"Financial Year (Apr - Mar), 2019",1 Million - 4 Million,1996,1845,18
India,"Financial Year (Apr - Mar), 2019",100 Thousand - 500 Thousand,3504,2685,17
India,"Financial Year (Apr - Mar), 2019",< 100 Thousand,967,692,8
India,"Financial Year (Apr - Mar), 2019",All ULBs,7166,1548,9
India,"Financial Year (Apr - Mar), 2018",4 Million+,0,0,0
India,"Financial Year (Apr - Mar), 2018",500 Thousand - 1 Million,534,702,24
India,"Financial Year (Apr - Mar), 2018",1 Million - 4 Million,2433,2482,16
India,"Financial Year (Apr - Mar), 2018",100 Thousand - 500 Thousand,911,797,14
India,"Financial Year (Apr - Mar), 2018",< 100 Thousand,1693,1355,7
India,"Financial Year (Apr - Mar), 2018",All ULBs,5571,1348,8
India,"Financial Year (Apr - Mar), 2017",4 Million+,8721,3232,50
India,"Financial Year (Apr - Mar), 2017",500 Thousand - 1 Million,480,560,28
India,"Financial Year (Apr - Mar), 2017",1 Million - 4 Million,3040,1313,39
India,"Financial Year (Apr - Mar), 2017",100 Thousand - 500 Thousand,2616,1387,23
India,"Financial Year (Apr - Mar), 2017",< 100 Thousand,-915,-398,19
India,"Financial Year (Apr - Mar), 2017",All ULBs,13942,1386,20
India,"Financial Year (Apr - Mar), 2016",4 Million+,8234,2442,63
India,"Financial Year (Apr - Mar), 2016",500 Thousand - 1 Million,3135,2668,37
India,"Financial Year (Apr - Mar), 2016",1 Million - 4 Million,6583,2147,50
India,"Financial Year (Apr - Mar), 2016",100 Thousand - 500 Thousand,2725,1060,31
India,"Financial Year (Apr - Mar), 2016",< 100 Thousand,3662,1147,24
India,"Financial Year (Apr - Mar), 2016",All ULBs,24339,1819,25
