Country,Year,State Name,Type Of Urban Lobal Body (Ulb) ,Category Of Urban Lobal Body (Ulb),"Weighted Average Own Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Median Own Revenue Per Capita (UOM:INR(IndianRupees)), Scaling Factor:1","Percentage Of Weighted Average Own Revenues To Revenue Expenditure (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Cities Where Own Revenues Meet Revenue Expenditure (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Andaman and Nicobar Islands,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Andhra Pradesh,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Arunachal Pradesh,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Assam,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Assam,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Assam,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Assam,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Assam,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Assam,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Assam,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Assam,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Assam,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Assam,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Assam,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Assam,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Assam,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Assam,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Assam,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Bihar,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Bihar,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Bihar,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Bihar,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Bihar,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Bihar,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Chandigarh,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Chhattisgarh,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Dadra and Nagar Haveli and Daman & Diu,Town Panchayat,4 Million+,0,0,0,0
