Country,Year,Deficit Or Surplus,Urban Lobal Body Population Category,"Revenue  (UOM:INR(IndianRupees)), Scaling Factor:10000000","Expenditure  (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Financial Year (Apr - Mar), 2022",Surplus,4 Million+,58826,54749
India,"Financial Year (Apr - Mar), 2022",Surplus,1 Million-4 Million,45101,39888
India,"Financial Year (Apr - Mar), 2022",Surplus,500 Thousand-1 Million,12816,12331
India,"Financial Year (Apr - Mar), 2022",Surplus,<100 Thousand,8820,8772
India,"Financial Year (Apr - Mar), 2022",Deficit,100 Thousand-500 Thousand,17421,18619
India,"Financial Year (Apr - Mar), 2021",Surplus,4 Million+,72747,66739
India,"Financial Year (Apr - Mar), 2021",Surplus,1 Million-4 Million,41847,36956
India,"Financial Year (Apr - Mar), 2021",Deficit,500 Thousand-1 Million,11172,11429
India,"Financial Year (Apr - Mar), 2021",Deficit,100 Thousand-500 Thousand,20782,22379
India,"Financial Year (Apr - Mar), 2021",Deficit,<100 Thousand,26967,31240
India,"Financial Year (Apr - Mar), 2020",Surplus,4 Million+,53252,51710
India,"Financial Year (Apr - Mar), 2020",Surplus,1 Million-4 Million,32004,29594
India,"Financial Year (Apr - Mar), 2020",Deficit,500 Thousand-1 Million,8735,9160
India,"Financial Year (Apr - Mar), 2020",Deficit,100 Thousand-500 Thousand,17712,19455
India,"Financial Year (Apr - Mar), 2020",Deficit,<100 Thousand,21255,24306
India,"Financial Year (Apr - Mar), 2019",Surplus,4 Million+,51251,49857
India,"Financial Year (Apr - Mar), 2019",Surplus,1 Million-4 Million,34215,30899
India,"Financial Year (Apr - Mar), 2019",Deficit,500 Thousand-1 Million,10054,10645
India,"Financial Year (Apr - Mar), 2019",Deficit,100 Thousand-500 Thousand,16370,17700
India,"Financial Year (Apr - Mar), 2019",Deficit,<100 Thousand,20980,22942
India,"Financial Year (Apr - Mar), 2018",Surplus,1 Million-4 Million,4589,3876
India,"Financial Year (Apr - Mar), 2018",Surplus,500 Thousand-1 Million,2699,2639
India,"Financial Year (Apr - Mar), 2018",Surplus,<100 Thousand,5476,5445
India,"Financial Year (Apr - Mar), 2018",Deficit,4 Million+,0,0
India,"Financial Year (Apr - Mar), 2018",Deficit,100 Thousand-500 Thousand,4372,4761
India,"Financial Year (Apr - Mar), 2017",Surplus,4 Million+,45803,38157
India,"Financial Year (Apr - Mar), 2017",Surplus,1 Million-4 Million,11192,8619
India,"Financial Year (Apr - Mar), 2017",Surplus,500 Thousand-1 Million,2830,2604
India,"Financial Year (Apr - Mar), 2017",Deficit,100 Thousand-500 Thousand,5904,5904
India,"Financial Year (Apr - Mar), 2017",Deficit,<100 Thousand,7520,8025
India,"Financial Year (Apr - Mar), 2016",Surplus,4 Million+,38071,31819
India,"Financial Year (Apr - Mar), 2016",Surplus,1 Million-4 Million,18511,15711
India,"Financial Year (Apr - Mar), 2016",Surplus,500 Thousand-1 Million,3382,3147
India,"Financial Year (Apr - Mar), 2016",Surplus,100 Thousand-500 Thousand,7173,7163
India,"Financial Year (Apr - Mar), 2016",Deficit,<100 Thousand,9150,10205
India,"Financial Year (Apr - Mar), 2015",Surplus,4 Million+,38393,30608
India,"Financial Year (Apr - Mar), 2015",Surplus,1 Million-4 Million,16456,11978
India,"Financial Year (Apr - Mar), 2015",Surplus,500 Thousand-1 Million,3815,3657
India,"Financial Year (Apr - Mar), 2015",Deficit,100 Thousand-500 Thousand,7352,7500
India,"Financial Year (Apr - Mar), 2015",Deficit,<100 Thousand,8718,9736
