Country,State,Year,Condition Of House,"Percentage Of Households (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",Good,76.52
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",Liveable,22.19
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",Dilapidated,1.29
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",Good,78.95
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",Liveable,19.57
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",Dilapidated,1.48
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",Good,58.52
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",Liveable,38.69
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",Dilapidated,2.80
India,Assam,"Calendar Year (Jan - Dec), 2011",Good,58.92
India,Assam,"Calendar Year (Jan - Dec), 2011",Liveable,35.42
India,Assam,"Calendar Year (Jan - Dec), 2011",Dilapidated,5.66
India,Bihar,"Calendar Year (Jan - Dec), 2011",Good,53.05
India,Bihar,"Calendar Year (Jan - Dec), 2011",Liveable,40.04
India,Bihar,"Calendar Year (Jan - Dec), 2011",Dilapidated,6.91
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",Good,69.86
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",Liveable,26.60
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",Dilapidated,3.53
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",Good,64.24
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",Liveable,33.13
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",Dilapidated,2.64
India,Delhi,"Calendar Year (Jan - Dec), 2011",Good,66.02
India,Delhi,"Calendar Year (Jan - Dec), 2011",Liveable,31.21
India,Delhi,"Calendar Year (Jan - Dec), 2011",Dilapidated,2.77
India,Goa,"Calendar Year (Jan - Dec), 2011",Good,76.89
India,Goa,"Calendar Year (Jan - Dec), 2011",Liveable,21.80
India,Goa,"Calendar Year (Jan - Dec), 2011",Dilapidated,1.31
India,Gujarat,"Calendar Year (Jan - Dec), 2011",Good,76.52
India,Gujarat,"Calendar Year (Jan - Dec), 2011",Liveable,22.62
India,Gujarat,"Calendar Year (Jan - Dec), 2011",Dilapidated,0.86
India,Haryana,"Calendar Year (Jan - Dec), 2011",Good,62.92
India,Haryana,"Calendar Year (Jan - Dec), 2011",Liveable,33.70
India,Haryana,"Calendar Year (Jan - Dec), 2011",Dilapidated,3.38
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",Good,80.12
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",Liveable,18.47
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",Dilapidated,1.41
