Country,State,Year,"Total Number Of Households (UOM:Number), Scaling Factor:1","Number Of Households Owned (UOM:Number), Scaling Factor:1","Percentage Of Households Owned (UOM:%(Percentage)), Scaling Factor:1","Number Of Households Rented (UOM:Number), Scaling Factor:1","Percentage Of Households Rented (UOM:%(Percentage)), Scaling Factor:1","Number Of Other Households (UOM:Number), Scaling Factor:1","Percentage Of Other Households (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",34346,15497,45.12,17363,50.55,1486,4.33
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",4100926.16083233900600282750,2202190.19406744783276664050,53.7,1817889.05462790784844331780,44.33,80846.91213698332479286920,1.97
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",65891,19305,29.3,37186,56.44,9400,14.27
India,Assam,"Calendar Year (Jan - Dec), 2011",992742,635544,64.02,306723,30.9,50475,5.08
India,Bihar,"Calendar Year (Jan - Dec), 2011",2013671,1671456,83.01,274983,13.66,67232,3.34
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",228276,110480,48.4,105357,46.15,12439,5.45
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",1238738,867179,70.01,293600,23.7,77959,6.29
India,Delhi,"Calendar Year (Jan - Dec), 2011",3261423,2214621,67.9,929112,28.49,117690,3.61
India,Goa,"Calendar Year (Jan - Dec), 2011",198139,145304,73.33,44791,22.61,8044,4.06
India,Gujarat,"Calendar Year (Jan - Dec), 2011",5416315,3927857,72.52,1315157,24.28,173301,3.2
India,Haryana,"Calendar Year (Jan - Dec), 2011",1751901,1318409,75.26,380254,21.71,53238,3.04
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",166043,82152,49.48,75029,45.19,8862,5.34
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2011",507347.25483264903243359888,462861.37023635510923307911,91.23,32894.26414974158243845521,6.48,11591.62044655234076206456,2.28
India,Jharkhand,"Calendar Year (Jan - Dec), 2011",1495642,944950,63.18,408108,27.29,142584,9.53
India,Karnataka,"Calendar Year (Jan - Dec), 2011",5315715,2713891,51.05,2447718,46.05,154106,2.9
India,Kerala,"Calendar Year (Jan - Dec), 2011",3620696,3196968,88.3,362153,10,61575,1.7
India,Ladakh,"Calendar Year (Jan - Dec), 2011",9820.74516735096756640112,8959.62976364489076692089,91.23,636.73585025841756154479,6.48,224.37955344765923793544,2.28
India,Lakshadweep,"Calendar Year (Jan - Dec), 2011",8180,6727,82.24,1289,15.76,164,2
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2011",3845232,2862789,74.45,811821,21.11,170622,4.44
India,Maharashtra,"Calendar Year (Jan - Dec), 2011",10813928,7545680,69.78,2940731,27.19,327517,3.03
India,Manipur,"Calendar Year (Jan - Dec), 2011",171400,152379,88.9,15648,9.13,3373,1.97
India,Meghalaya,"Calendar Year (Jan - Dec), 2011",116102,51289,44.18,58765,50.61,6048,5.21
India,Mizoram,"Calendar Year (Jan - Dec), 2011",116203,55708,47.94,57059,49.1,3436,2.96
India,Nagaland,"Calendar Year (Jan - Dec), 2011",115054,46645,40.54,63227,54.95,5182,4.5
India,Odisha,"Calendar Year (Jan - Dec), 2011",1517073,909644,59.96,476402,31.4,131027,8.64
India,Puducherry,"Calendar Year (Jan - Dec), 2011",206143,118093,57.29,80274,38.94,7776,3.77
India,Punjab,"Calendar Year (Jan - Dec), 2011",2094067,1639740,78.3,390177,18.63,64150,3.06
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",3090940,2499269,80.86,523159,16.93,68512,2.22
India,Sikkim,"Calendar Year (Jan - Dec), 2011",35761,11760,32.88,22752,63.62,1249,3.49
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",8929104,5130112,57.45,3590179,40.21,208813,2.34
India,Telangana,"Calendar Year (Jan - Dec), 2011",2677298.83916766099399717250,1437704.80593255216723335950,53.7,1186812.94537209215155668220,44.33,52781.08786301667520713080,1.97
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2011",85286.00000000000000000000,26832.00000000000000000000,30.9627907346450213211557,56028.00000000000000000000,66.1104036994089922944635,2426.00000000000000000000,2.9268055659459863843808
India,Tripura,"Calendar Year (Jan - Dec), 2011",235002,192606,81.96,35626,15.16,6770,2.88
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",7449195,6123592,82.2,1114832,14.97,210771,2.83
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",592223,395519,66.79,157724,26.63,38980,6.58
India,West Bengal,"Calendar Year (Jan - Dec), 2011",6350113,4798614,75.57,1292263,20.35,259236,4.08
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2001",23409,10082,43.07,9796,41.85,3531,15.08
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2001",2525113.19128092126429480210,1414198.40221080297058748790,56.01,1036689.15844918808283168660,41.06,74225.63062093021087562760,2.94
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2001",48114,11994,24.93,15150,31.49,20970,43.58
