Country,State,Year,"Total Number Of Households (UOM:Number), Scaling Factor:1","Percentage Of Households Having No Exclusive Room (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having One Room (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Two Rooms (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Three Rooms (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Four Rooms (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Five Rooms (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Six Rooms And Above (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Four Rooms And Above (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",15497,1.37,22.00,35.00,23.79,11.11,3.57,3.16,17.84
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",2202190.19406744783276664050,1.97,28.42,32.16,21.30,10.49,3.07,2.58,16.14
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",19305,0.95,12.68,28.62,29.06,14.50,6.73,7.45,28.69
India,Assam,"Calendar Year (Jan - Dec), 2011",635544,1.86,16.57,25.73,21.07,16.06,9.21,9.52,34.78
India,Bihar,"Calendar Year (Jan - Dec), 2011",1671456,2.19,31.74,29.19,15.71,10.61,4.12,6.44,21.17
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",110480,1.20,28.21,25.32,20.18,13.54,5.09,6.46,25.09
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",867179,1.26,24.32,32.38,19.29,11.87,4.81,6.08,22.76
India,Delhi,"Calendar Year (Jan - Dec), 2011",2214621,0.91,20.56,31.10,24.70,13.73,4.09,4.90,22.72
India,Goa,"Calendar Year (Jan - Dec), 2011",145304,2.18,11.09,24.11,29.95,17.43,7.61,7.61,32.65
India,Gujarat,"Calendar Year (Jan - Dec), 2011",3927857,1.60,27.29,35.97,21.09,8.61,2.98,2.46,14.05
