Country,climate_risk,climate_risk_norm,Trade_Risk,Trade_Risk_norm,geopolitics_risk,geopolitics_risk_norm,weighted_risk,cascading_risk,final_risk,risk_level
AFG,,,0.08401346,0.15185197833188885,0.275764,0.31294324174217786,0.23239761003703335,0.23239761003703335,0.4073340648921838,VERY HIGH
AGO,,,0.107322924,0.21129112892378432,0.25375125,0.28535058700457816,0.24832085796418124,0.24832085796418124,0.43865996394543105,VERY HIGH
ALB,,,0.10424192,0.20343456642495414,0.02610548,0.0,0.10171728321247707,0.10171728321247707,0.15024589135617983,MEDIUM
AND,,,0.35878944,0.8525309323505509,0.02610548,0.0,0.42626546617527544,0.42626546617527544,0.7887314355066237,VERY HIGH
ARG,,,0.084358454,0.1527317132892993,0.3358381,0.3882452326325499,0.2704884729609246,0.2704884729609246,0.4822704429643064,VERY HIGH
ARM,,,0.16339342,0.3542709355596758,0.02610548,0.0,0.1771354677798379,0.1771354677798379,0.29861652826049934,HIGH
AUS,,,0.044137396,0.05016798537915253,0.09323258,0.08414282149374011,0.06715540343644633,0.06715540343644633,0.08225210253194633,LOW
AUT,,,0.09084367,0.16926901892811494,0.44331852,0.5229703405864495,0.34611967975728225,0.34611967975728225,0.631060159749325,VERY HIGH
AZE,,,0.14265215,0.30138068158398745,0.3346769,0.3867896857026433,0.3440851836433154,0.3440851836433154,0.6270576836099131,VERY HIGH
BEL,,,0.041760974,0.04410810750603225,0.45605683,0.5389376227193278,0.29152286511268,0.29152286511268,0.5236515260327235,VERY HIGH
BGR,,,0.08711197,0.1597531811437808,0.23509157,0.26196095564302213,0.21085706839340146,0.21085706839340146,0.3649572309593126,HIGH
BLR,,,0.15742163,0.3390428666039427,0.29543576,0.33760150033144654,0.3383221834676946,0.3383221834676946,0.6157200995585116,VERY HIGH
BOL,,,0.07994102,0.14146725329331833,0.115682684,0.11228369296573729,0.1268754731295278,0.1268754731295278,0.19973974595856284,MEDIUM
BRA,,,0.10348345,0.20150046735903676,0.12503637,0.12400839925286271,0.16275443330594974,0.16275443330594974,0.27032463478051244,HIGH
BRN,,,0.1997107,0.44688002665709575,0.02610548,0.0,0.22344001332854788,0.22344001332854788,0.3897117323420947,HIGH
BTN,,,0.11979737,0.24310097553134544,0.02610548,0.0,0.12155048776567272,0.12155048776567272,0.1892638710157539,MEDIUM
CAN,,,0.041181654,0.04263084107378409,0.25955614,0.2926269302856196,0.16762888567970186,0.16762888567970186,0.2799141735290541,HIGH
CHE,,,0.06284172,0.09786402553501387,0.25955614,0.2926269302856196,0.19524547791031674,0.19524547791031674,0.3342444574239611,HIGH
CHL,,,0.11167915,0.2223995084740962,0.11153236,0.10708132355795436,0.1647404160160253,0.1647404160160253,0.27423167021586814,HIGH
COL,,,0.07942557,0.1401528554087255,0.24158186,0.2700964376303656,0.20512464651954554,0.20512464651954554,0.35367980378034625,HIGH
CRI,,,0.06356291,0.09970306057311552,0.02610548,0.0,0.04985153028655776,0.04985153028655776,0.04821009137921936,VERY LOW
CYP,,,0.15788934,0.34023552745291535,0.02610548,0.0,0.17011776372645768,0.17011776372645768,0.28481055791025744,HIGH
CZE,,,0.053191848,0.07325684473495277,0.5999374,0.7192897773324061,0.3962733110336794,0.3962733110336794,0.7297276927618322,VERY HIGH
DEU,,,0.040879715,0.04186089639849828,0.5018724,0.5963667583164852,0.3191138273574918,0.3191138273574918,0.5779313879062139,VERY HIGH
DNK,,,0.044342805,0.05069177848241438,0.02610548,0.0,0.02534588924120719,0.02534588924120719,0.0,VERY LOW
DZA,,,0.08284287,0.14886697295847628,0.11615132,0.11287112122188929,0.1308690470901828,0.1308690470901828,0.20759632743776382,HIGH
ECU,,,0.10719324,0.21096043462702316,0.34066013,0.3942895755213007,0.3026250050741619,0.3026250050741619,0.5454928311043765,VERY HIGH
ESP,,,0.04209567,0.04496158255575906,0.8238812,1.0,0.5224807912778795,0.5224807912778795,0.9780164089824719,VERY HIGH
EST,,,0.088932745,0.16439615875231603,0.02610548,0.0,0.08219807937615801,0.08219807937615801,0.11184564714885313,MEDIUM
ETH,,,0.06262044,0.09729976136991017,0.5115632,0.6085140319888401,0.35290689667937514,0.35290689667937514,0.6444126914141419,VERY HIGH
FIN,,,0.056429125,0.08151190350038295,0.21855819,0.24123660970780114,0.16137425660409205,0.16137425660409205,0.2676094050587969,HIGH
FRA,,,0.041188437,0.042648137728845105,0.33328107,0.38504003355730104,0.21384408564307308,0.21384408564307308,0.3708336075165092,HIGH
GBR,,,0.024463682,0.0,0.15198548,0.1577887078338258,0.0788943539169129,0.0788943539169129,0.10534620867314431,MEDIUM
GEO,,,0.12465434,0.2554862526552775,0.4162352,0.48902180176654164,0.3722540272109096,0.3722540272109096,0.6824744147995796,VERY HIGH
