Country,State,Year,Additional Information,"Number Of Crimes Or Atrocities (UOM:Number), Scaling Factor:1","Rate Of Total Crime Against Scheduled Tribes(Sts) (UOM:Ratio), Scaling Factor:1","Charge Sheeting Rate (UOM:Ratio), Scaling Factor:1","Number Of Population (UOM:Number), Scaling Factor:100000","Total Rate Of Cognizable Crimes (UOM:Ratio), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",,3.0,10.5,100.0,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",,396.0,15.1,75.3,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",,0.0,0.0,,,
India,Assam,"Calendar Year (Jan - Dec), 2022",,9.0,0.2,58.3,,
India,Bihar,"Calendar Year (Jan - Dec), 2022",,146.0,10.9,82.3,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",,0.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",,516.0,6.6,99.8,,
India,Delhi,"Calendar Year (Jan - Dec), 2022",,0.0,,100.0,,
India,Goa,"Calendar Year (Jan - Dec), 2022",,1.0,0.7,100.0,,
India,Gujarat,"Calendar Year (Jan - Dec), 2022",,330.0,3.7,96.0,,
India,Haryana,"Calendar Year (Jan - Dec), 2022",,0.0,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",,4.0,1.0,100.0,,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",,1.0,0.1,100.0,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",,283.0,3.3,57.3,,
India,Karnataka,"Calendar Year (Jan - Dec), 2022",,438.0,10.3,84.4,,
India,Kerala,"Calendar Year (Jan - Dec), 2022",,172.0,35.5,84.5,,
India,Ladakh,"Calendar Year (Jan - Dec), 2022",,0.0,0.0,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",,0.0,0.0,100.0,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",,2979.0,19.4,99.8,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",,742.0,7.1,90.9,,
India,Manipur,"Calendar Year (Jan - Dec), 2022",,1.0,0.1,0.0,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",,0.0,0.0,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2022",,29.0,2.8,100.0,,
India,Nagaland,"Calendar Year (Jan - Dec), 2022",,0.0,0.0,,,
India,Odisha,"Calendar Year (Jan - Dec), 2022",,773.0,8.1,94.9,,
India,Puducherry,"Calendar Year (Jan - Dec), 2022",,0.0,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2022",,0.0,,0.0,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",,2521.0,27.3,44.3,,
India,Sikkim,"Calendar Year (Jan - Dec), 2022",,4.0,1.9,100.0,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",,67.0,8.4,86.8,,
India,Telangana,"Calendar Year (Jan - Dec), 2022",,545.0,16.6,82.9,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",,5.0,2.6,100.0,,
India,Tripura,"Calendar Year (Jan - Dec), 2022",,3.0,0.3,0.0,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",,5.0,0.4,80.0,,
