Country,State,Year,Social Category,"Number Of Cases Pending From Previous Year (UOM:Number), Scaling Factor:1","Number Of Cases Registered During The Year (UOM:Number), Scaling Factor:1","Number Of Cases Reopened For Investigation (UOM:Number), Scaling Factor:1","Number Of Cases With Police During The Year Including Brought Forward Cases (Bf) (UOM:Number), Scaling Factor:1","Number Of Cases Withdrawn By The Government During Investigation (UOM:Number), Scaling Factor:1","Number Of Cases Not Investigated Or In Which Investigation Was Refused (UOM:Number), Scaling Factor:1","Number Of Cases Transferred To Other State Or Agency (UOM:Number), Scaling Factor:1","Number Of Cases In Which Charge Sheets Were Not Laid But Final Report As True Submitted During The Year (UOM:Number), Scaling Factor:1","Number Of Cases Charge Sheeted  (UOM:Number), Scaling Factor:1","Number Of Cases Quashed By The Court At Investigation (UOM:Number), Scaling Factor:1","Number Of Cases Pending With Police At The End Of The Year (UOM:Number), Scaling Factor:1","Number Of Cases Closed By Police After Investigation (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,2,0,1,0,0,0,0,2,0,0,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,0,0,0,0,0,0,0,0,0,0,0,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,435,300,0,735,0,0,0,90,221,1,423,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,2319,1769,0,4088,0,0,2,627,1509,1,1949,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,0,0,0,0,0,0,0,0,0,0,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,1,0,0,1,0,0,0,0,1,0,0,
India,Assam,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,8,6,0,14,0,0,0,0,0,0,14,
India,Assam,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,12,17,0,29,0,0,0,1,2,0,26,
India,Bihar,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,32,94,0,126,0,0,0,3,75,0,48,
India,Bihar,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,4604,7367,0,11971,0,0,0,913,5413,0,5645,
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,0,0,0,0,0,0,0,0,0,0,
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,1,0,0,1,0,0,0,0,0,0,1,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,91,501,0,592,0,0,0,6,460,0,126,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,87,316,0,403,0,0,0,3,279,0,121,
India,Delhi,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,0,0,0,0,0,0,0,0,0,0,
India,Delhi,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,65,31,0,96,0,0,0,0,24,0,72,
India,Goa,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,1,0,1,0,0,0,0,1,0,0,
India,Goa,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,2,0,0,2,3,0,0,0,1,0,1,
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,78,289,1,368,0,0,0,16,252,4,96,
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,266,1258,0,1524,0,0,0,34,1135,36,316,
India,Haryana,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,0,0,0,0,0,0,0,0,0,0,
India,Haryana,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,156,1132,0,1288,0,0,0,468,614,0,206,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,1,0,1,0,0,0,0,0,0,1,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,8,40,0,48,0,0,0,4,38,0,6,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,0,0,0,0,0,0,0,0,0,0,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,0,4,0,4,0,0,0,1,0,0,3,
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,150,167,0,317,0,0,0,39,69,0,209,
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,365,367,0,732,0,0,0,100,174,0,458,
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,124,269,0,393,0,0,12,27,234,0,120,
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,592,1263,0,1855,0,0,35,154,1027,1,638,
India,Kerala,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,89,119,0,208,0,0,0,21,105,0,82,
India,Kerala,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,781,776,24,1581,0,0,0,177,601,3,800,
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,0,0,0,0,0,0,0,0,0,0,
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,0,0,0,0,0,0,0,0,0,0,0,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Scheduled Tribes,0,1,0,0,0,0,0,0,0,0,1,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Scheduled Castes,0,0,0,0,0,0,0,0,0,0,0,
