Country,State,Year,Comments,"Number Of Cases Registered On Scheduled Caste (Sc) During The Year (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) During The Year (UOM:Number), Scaling Factor:1","Total Number Of Cases Registered During The Year (Sc+St) (UOM:Number), Scaling Factor:1","Scheduled Caste (Sc) Population As Per 2011 Census  (UOM:Number), Scaling Factor:100000","Scheduled Caste (Sc) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Scheduled Tribe (St) Population As Per 2011 Census (UOM:Number), Scaling Factor:100000","Scheduled Tribe (St) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Number Of Cases Registered On Scheduled Caste (Sc) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,0,2,2,,,0.28,7.5,0,7.14
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",,1769,300,2069,84.5,17.2,26.3,5.4,20.93,11.41
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,0,0,0,,,9.5,68.8,0,0
India,Assam,"Calendar Year (Jan - Dec), 2020",,17,6,23,22.3,7.2,38.8,12.4,0.76,0.15
India,Bihar,"Calendar Year (Jan - Dec), 2020",,7367,94,7461,165.6,15.9,13.3,1.3,44.49,7.07
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",,0,0,0,1.9,18.9,,,0.53,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",,316,501,817,32.7,12.8,78.2,30.6,9.66,6.41
India,Delhi,"Calendar Year (Jan - Dec), 2020",,31,0,31,28.1,16.8,,,1.1,0
India,Goa,"Calendar Year (Jan - Dec), 2020",,0,1,1,0.25,1.7,1.4,10.2,0,0.71
India,Gujarat,"Calendar Year (Jan - Dec), 2020",,1258,289,1547,40.7,6.7,89.1,14.8,30.91,3.24
India,Haryana,"Calendar Year (Jan - Dec), 2020",,1132,0,1132,51.1,20.2,,,22.15,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",,40,1,41,17.2,25.2,3.9,5.7,2.33,0.26
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",,3.91250744019613409640,0.00000000000000000000,3.91250744019613409640,8.998767112451108421720,7.4,14.574090214730599509090,11.9,0.43,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",,367,167,534,39.8,12.1,86.4,26.2,9.22,1.93
India,Karnataka,"Calendar Year (Jan - Dec), 2020",,1263,269,1532,104.7,17.1,42.4,7,12.06,6.34
India,Kerala,"Calendar Year (Jan - Dec), 2020",,776,119,895,30.4,9.1,4.8,1.5,25.53,24.79
India,Ladakh,"Calendar Year (Jan - Dec), 2020",,0.08749255980386590360,0.00000000000000000000,0.08749255980386590360,0.201232887548891578280,7.4,0.325909785269400490910,11.9,0.43,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",,0,1,1,,,0.61,94.8,0,1.64
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",,6899,2399,9298,113.4,15.6,153.2,21.1,60.84,15.66
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",,2359,639,2998,132.7,11.8,105.1,9.4,17.78,6.08
India,Manipur,"Calendar Year (Jan - Dec), 2020",,0,2,2,0.97,3.8,9,35.1,0,0.22
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",,0,0,0,0.17,0.6,25.5,86.1,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2020",,0,0,0,0.1,0.1,10.3,94.4,0,0
India,Nagaland,"Calendar Year (Jan - Dec), 2020",,0,0,0,,,17.1,86.5,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2020",,2046,605,2651,71.8,17.1,95.9,22.8,28.5,6.31
India,Puducherry,"Calendar Year (Jan - Dec), 2020",,0,0,0,1.9,15.7,,,0,0
India,Punjab,"Calendar Year (Jan - Dec), 2020",,119,2,121,88.6,31.9,,,1.34,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",,6895,1849,8744,122.2,17.8,92.3,13.5,56.42,20.03
India,Sikkim,"Calendar Year (Jan - Dec), 2020",,0,0,0,0.28,4.6,2,33.8,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",,1237,18,1255,144.3,20,7.9,1.1,8.57,2.28
India,Telangana,"Calendar Year (Jan - Dec), 2020",,1842,545,2387,54.3,15.4,32.9,9.3,33.92,16.57
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",,1,0,1,0.06,1.8,1.7,52,16.67,0
India,Tripura,"Calendar Year (Jan - Dec), 2020",,0,1,1,6.5,17.8,11.6,31.8,0,0.09
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",,10138,1,10139,413.5,20.7,11.3,0.6,24.52,0.09
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",,33,13,46,18.9,18.8,2.9,2.9,1.75,4.48
India,West Bengal,"Calendar Year (Jan - Dec), 2020",,86,67,153,214.6,23.5,52.9,5.8,0.4,1.27
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",,0,1,1,,,0.28,7.5,0,3.57
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",,1892,312,2204,84.5,17.2,26.3,5.4,22.39,11.86
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",,0,0,0,,,9.5,68.8,0,0
India,Assam,"Calendar Year (Jan - Dec), 2019",,17,1,18,22.3,7.2,38.8,12.4,0.76,0.02
India,Bihar,"Calendar Year (Jan - Dec), 2019",,6540,97,6637,165.6,15.9,13.3,1.3,39.49,7.29
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",,1,0,1,1.9,18.9,,,0.52,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",,339,427,766,32.7,12.8,78.2,30.6,10.36,5.46
India,Delhi,"Calendar Year (Jan - Dec), 2019",,43,0,43,28.1,16.8,,,1.53,0
India,Goa,"Calendar Year (Jan - Dec), 2019",,3,1,4,0.25,1.7,1.4,10.2,12,0.71
India,Gujarat,"Calendar Year (Jan - Dec), 2019",,1295,310,1605,40.7,6.7,89.1,14.8,31.81,3.47
India,Haryana,"Calendar Year (Jan - Dec), 2019",,1034,1,1035,51.1,20.2,,,20.23,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",,30,0,30,17.2,25.2,3.9,5.7,1.741,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,8.998767112451108421720,7.4,14.574090214730599509090,11.9,0,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",,324,136,460,39.8,12.1,86.4,26.2,8.14,1.57
India,Karnataka,"Calendar Year (Jan - Dec), 2019",,1417,316,1733,104.7,17.1,42.4,7,13.53,7.45
India,Kerala,"Calendar Year (Jan - Dec), 2019",,776,128,904,30.4,9.1,4.8,1.5,25.52,26.6
India,Ladakh,"Calendar Year (Jan - Dec), 2019",,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.201232887548891578280,7.4,0.325909785269400490910,11.9,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",,0,0,0,,,0.61,94.8,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",,5299,1920,7219,113.4,15.6,153.2,21.1,46.72,12.53
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",,1932,506,2438,132.7,11.8,105.1,9.4,14.55,4.81
India,Manipur,"Calendar Year (Jan - Dec), 2019",,0,2,2,0.97,3.8,9,35.1,0,0.22
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",,0,0,0,0.17,0.6,25.5,86.1,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2019",,0,8,8,0.1,0.1,10.3,94.4,0,0.77
India,Nagaland,"Calendar Year (Jan - Dec), 2019",,0,0,0,,,17.1,86.5,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2019",,1845,576,2421,71.8,17.1,95.9,22.8,25.69,6
India,Puducherry,"Calendar Year (Jan - Dec), 2019",,0,0,0,1.9,15.7,,,0,0
India,Punjab,"Calendar Year (Jan - Dec), 2019",,130,1,131,88.6,31.9,,,1.46,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",,6659,1759,8418,122.2,17.8,92.3,13.5,54.49,19.05
India,Sikkim,"Calendar Year (Jan - Dec), 2019",,2,2,4,0.28,4.6,2,33.8,7.14,1
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",,1060,28,1088,144.3,20,7.9,1.1,7.34,3.54
India,Telangana,"Calendar Year (Jan - Dec), 2019",,1545,494,2039,54.3,15.4,32.9,9.3,28.45,15.01
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.1200000000000000000000,2.241479157376714499847,1.8500000000000000000000,23.177717868405924795703,0.00000000000000000000,0.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2019",,0,0,0,6.5,17.8,11.6,31.8,0,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",,9451,705,10156,413.5,20.7,11.3,0.6,22.85,62.38
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",,59,8,67,18.9,18.8,2.9,2.9,3.12,2.75
India,West Bengal,"Calendar Year (Jan - Dec), 2019",,100,76,176,214.6,23.5,52.9,5.8,0.46,1.43
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2017",,0,2,2,,,0.28,7.5,,7.1
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",,1969,341,2310,84.5,17.2,26.3,5.4,23.3,13
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",,2,0,2,,,9.5,68.8,,
India,Assam,"Calendar Year (Jan - Dec), 2017",,10,65,75,22.3,7.2,38.8,12.4,0.4,1.7
India,Bihar,"Calendar Year (Jan - Dec), 2017",,6747,80,6827,165.6,15.9,13.3,1.3,40.7,6
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",,1,0,1,1.9,18.9,,,0.5,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",,283,399,682,32.7,12.8,78.2,30.6,8.6,5.1
India,Delhi,"Calendar Year (Jan - Dec), 2017",,48,4,52,28.1,16.8,,,1.7,
India,Goa,"Calendar Year (Jan - Dec), 2017",,10,2,12,0.25,1.7,1.4,10.2,40,1.4
India,Gujarat,"Calendar Year (Jan - Dec), 2017",,1477,319,1796,40.7,6.7,89.1,14.8,36.3,3.6
India,Haryana,"Calendar Year (Jan - Dec), 2017",,760,0,760,51.1,20.2,,,14.9,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",,108,3,111,17.2,25.2,3.9,5.7,6.3,0.8
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2017","PoA Act, 1989 does not extend in the State",,,,8.998767112451108421720,7.4,14.574090214730599509090,11.9,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",,541,237,778,39.8,12.1,86.4,26.2,13.6,2.7
India,Karnataka,"Calendar Year (Jan - Dec), 2017",,1869,401,2270,104.7,17.1,42.4,7,17.8,9.4
India,Kerala,"Calendar Year (Jan - Dec), 2017",,915,144,1059,30.4,9.1,4.8,1.5,30.1,30
India,Ladakh,"Calendar Year (Jan - Dec), 2017","PoA Act, 1989 does not extend in the State",,,,0.201232887548891578280,7.4,0.325909785269400490910,11.9,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",,0,0,0,,,0.61,94.8,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",,5892,2289,8181,113.4,15.6,153.2,21.1,52,14.9
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",,1688,464,2152,132.7,11.8,105.1,9.4,12.7,4.4
India,Manipur,"Calendar Year (Jan - Dec), 2017",,0,1,1,0.97,3.8,9,35.1,,0.1
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",,0,0,0,0.17,0.6,25.5,86.1,,
