Country,State,Year,Comments,"Central Assistance Amount Released For Incentive Under Relief To Atrocity Victims (UOM:INR(IndianRupees)), Scaling Factor:100000","Number Of Persons Covered Under The Central Assistance Scheme (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,11442
India,Assam,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,2
India,Bihar,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,7908,8500
India,Chandigarh,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,1145
India,Delhi,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,220,0
India,Goa,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Haryana,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0.00000000000000000000,0.00000000000000000000
India,Jharkhand,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,556
India,Karnataka,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,2800,2100
India,Kerala,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,1492
India,Ladakh,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0.00000000000000000000,0.00000000000000000000
India,Lakshadweep,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,10000
India,Maharashtra,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,2000
India,Odisha,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,3000
India,Puducherry,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,7
India,Punjab,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,16562,20000
India,Sikkim,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Telangana,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,2500
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,0
India,Tripura,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,9
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,27360,24000
India,Uttarakhand,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,180
India,West Bengal,"Financial Year (Apr - Mar), 2022",As on 24-01-2023. Number of persons covered- Tentative coverage.,0,250
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",,920,
India,Assam,"Financial Year (Apr - Mar), 2021",,10,
India,Bihar,"Financial Year (Apr - Mar), 2021",,3438,5232
India,Chandigarh,"Financial Year (Apr - Mar), 2021",,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",,370,1130
India,Delhi,"Financial Year (Apr - Mar), 2021",,7.45,
India,Goa,"Financial Year (Apr - Mar), 2021",,3,
India,Gujarat,"Financial Year (Apr - Mar), 2021",,1660.5,
India,Haryana,"Financial Year (Apr - Mar), 2021",,238,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",,150,
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2021",,11.73752232058840228920,
India,Jharkhand,"Financial Year (Apr - Mar), 2021",,400,1000
India,Karnataka,"Financial Year (Apr - Mar), 2021",,1400,2100
India,Kerala,"Financial Year (Apr - Mar), 2021",,223,1250
India,Ladakh,"Financial Year (Apr - Mar), 2021",,0.26247767941159771080,
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",,0,
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",,8000,10000
India,Maharashtra,"Financial Year (Apr - Mar), 2021",,773,2000
India,Odisha,"Financial Year (Apr - Mar), 2021",,1301.45,2700
India,Puducherry,"Financial Year (Apr - Mar), 2021",,133.06,6
India,Punjab,"Financial Year (Apr - Mar), 2021",,400,
India,Rajasthan,"Financial Year (Apr - Mar), 2021",,740,12000
India,Sikkim,"Financial Year (Apr - Mar), 2021",,0.83,
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",,605,
India,Telangana,"Financial Year (Apr - Mar), 2021",,371,
