State,Year,Month,actual_risk,predicted_risk
Andaman And Nicobar Islands,2020,1,0.1502293183807485,0.15448058
Andaman And Nicobar Islands,2021,1,0.1407151292928999,0.15954359
Andhra Pradesh,2020,1,0.624710926223193,0.42254162
Andhra Pradesh,2021,1,0.5692767650817385,0.61442834
Arunachal Pradesh,2020,1,0.0116644170311152,0.014019262
Arunachal Pradesh,2021,1,0.0077019447849234,0.008539295
Assam,2020,1,0.2629487935487709,0.23632447
Assam,2021,1,0.2292977055866886,0.2277298
Bihar,2020,1,0.6018927321273643,0.4233622
Bihar,2021,1,0.5455375767018709,0.5868624
Chandigarh,2020,1,0.0322861271106772,0.035262097
Chandigarh,2021,1,0.0222204953385584,0.027031472
Chhattisgarh,2020,1,0.607862586384165,0.42277288
Chhattisgarh,2021,1,0.5625790116790691,0.62064344
Delhi,2020,1,0.2051208498705566,0.23495278
Delhi,2021,1,0.1726498894467077,0.20963423
Goa,2020,1,0.1763087641563225,0.19980934
Goa,2021,1,0.1338691797222501,0.15742047
Gujarat,2020,1,0.6110129644933822,0.4168992
Gujarat,2021,1,0.5562769782581608,0.60745084
Haryana,2020,1,0.3077593618639047,0.33804736
Haryana,2021,1,0.2572142579805541,0.35672128
Himachal Pradesh,2020,1,0.2168526336565551,0.23257829
Himachal Pradesh,2021,1,0.1978272985524161,0.2514503
Jammu And Kashmir,2020,1,0.0276864073986617,0.028524728
Jammu And Kashmir,2021,1,0.0473060696866852,0.04342206
Jharkhand,2020,1,0.5631363233100303,0.40953004
Jharkhand,2021,1,0.5166008361437122,0.57383585
Karnataka,2020,1,0.6158423199488093,0.4203217
Karnataka,2021,1,0.559248922973595,0.6098218
Kerala,2020,1,0.5454261649530608,0.4096218
Kerala,2021,1,0.4948684127606408,0.5579075
Ladakh,2020,1,0.0059323386523599,0.0037350273
Ladakh,2021,1,0.0088985079785399,0.0030869988
Lakshadweep,2020,1,0.0295320405528959,0.03216352
Lakshadweep,2021,1,0.0442980608293438,0.042834595
Madhya Pradesh,2020,1,0.7769025946604374,0.4751149
Madhya Pradesh,2021,1,0.7173728821889584,0.75415426
Maharashtra,2020,1,0.6605485715743299,0.42965156
Maharashtra,2021,1,0.6105675426235275,0.6507124
Manipur,2020,1,0.1088814659068485,0.11985601
Manipur,2021,1,0.0969838442520627,0.09108089
Meghalaya,2020,1,0.0,0.0020575675
Meghalaya,2021,1,0.0,0.0020575675
Mizoram,2020,1,0.0980173654992897,0.09957879
Mizoram,2021,1,0.0842412105493782,0.06669141
Nagaland,2020,1,0.0,0.0020575675
Nagaland,2021,1,0.0,0.0020575675
Odisha,2020,1,0.6644734334490854,0.43162954
Odisha,2021,1,0.6092897980685894,0.65050524
Puducherry,2020,1,0.0263590789191668,0.051565956
Puducherry,2021,1,0.0,0.007906919
Punjab,2020,1,0.2367957036589586,0.28294885
Punjab,2021,1,0.2073199851565054,0.25641358
Rajasthan,2020,1,0.7584454931348384,0.48235857
Rajasthan,2021,1,0.7057042478719805,0.7513073
Sikkim,2020,1,0.1246719862886649,0.1267699
Sikkim,2021,1,0.0713539036704754,0.083153404
Tamil Nadu,2020,1,0.4651899163125719,0.390874
Tamil Nadu,2021,1,0.4240180293617286,0.5195906
Telangana,2020,1,0.6474007279151746,0.43173462
Telangana,2021,1,0.5959507441607239,0.63296884
The Dadra And Nagar Haveli And Daman And Diu,2020,1,0.1042981552114397,0.08793039
The Dadra And Nagar Haveli And Daman And Diu,2021,1,0.0955100866106933,0.091482
Tripura,2020,1,0.0607903678296207,0.073431306
Tripura,2021,1,0.0622911886774012,0.06693313
Uttar Pradesh,2020,1,0.5609934295681684,0.39003554
Uttar Pradesh,2021,1,0.4479168044802186,0.5121605
Uttarakhand,2020,1,0.3018042584439794,0.32934064
Uttarakhand,2021,1,0.2575521494266499,0.28236553
West Bengal,2020,1,0.4676560772129575,0.37022465
West Bengal,2021,1,0.4216269787272015,0.36753935
